;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
New Brunswick;April;a;42;91;50;60;41;28;26;16;67;55;31;36;31;18;57;137;154;68;14;54;47;23;189;176;39;3;151;16;37;12;100;52;36;
New Brunswick;May;a;71;154;345;195;89;71;75;72;61;180;73;169;97;89;118;41;64;130;81;88;52;25;49;123;79;165;55;25;124;88;127;58;99;
New Brunswick;June;a;100;150;78;40;37;116;129;68;29;210;77;43;42;38;41;39;9;31;13;11;7;7;22;7;20;3;25;16;34;19;72;30;13;
New Brunswick;July;a;114;141;24;32;48;89;11;77;44;80;40;47;37;29;14;29;33;21;33;3;14;11;26;34;16;22;10;39;40;21;27;7;15;
New Brunswick;August;a;32;92;42;72;104;156;74;75;73;40;46;116;76;26;11;49;22;33;14;18;42;1;28;7;12;11;25;79;15;32;64;17;12;
New Brunswick;September;a;13;20;23;28;40;74;37;13;5;31;44;53;22;27;8;12;8;15;11;17;11;;12;;9;15;12;35;31;5;49;6;11;
New Brunswick;October;a;4;7;14;3;137;11;13;45;7;3;30;29;10;3;6;1;1;17;2;3;2;;3;3;5;3;7;33;4;6;22;6;9;
New Brunswick;November;a;;1;;;22;2;1;2;2;7;;3;2;;1;1;;2;;3;1;;1;;;;;2;;;5;;17;
New Brunswick;December;a;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;
New Brunswick;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202
Newfoundland and Labrador;January;a;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Newfoundland and Labrador;March;a;2;;;;;;;;;5;;;;;;;;;;1;2;;1;;;;;;;6;;2;;
Newfoundland and Labrador;April;a;5;4;2;1;3;3;13;;1;10;14;;5;2;1;6;6;2;2;26;7;2;20;7;;;;;12;1;12;6;2;
Newfoundland and Labrador;May;a;19;29;47;13;15;23;23;15;94;66;34;30;30;32;66;34;33;19;33;52;5;14;14;21;;2;1;18;41;44;17;21;27;
Newfoundland and Labrador;June;a;36;38;15;24;35;20;12;25;55;66;44;36;24;45;16;31;5;17;8;27;4;5;31;10;;21;;22;18;8;6;16;19;
Newfoundland and Labrador;July;a;29;12;13;5;35;14;4;26;11;20;9;34;13;6;14;23;9;10;14;29;4;5;36;22;;;14;20;19;11;25;15;34;
Newfoundland and Labrador;August;a;30;32;26;13;35;23;48;11;18;10;15;63;14;16;23;14;7;1;2;4;11;9;9;7;;4;3;8;24;16;27;22;13;
Newfoundland and Labrador;September;a;41;;3;5;5;3;9;1;;10;7;10;6;21;3;7;3;6;7;8;6;5;4;;1;;;4;14;11;5;5;10;
Newfoundland and Labrador;October;a;3;;;4;1;;2;;1;1;1;5;1;3;1;;;;6;;3;;;2;;;;4;3;2;;;15;
Newfoundland and Labrador;November;a;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;6;;;4;2;3;
Newfoundland and Labrador;December;a;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;
Newfoundland and Labrador;Unspecified;a;;;;;;;;;;;25;2;7;14;1;6;3;11;1;4;3;2;23;2;1;;;;1;;;;;
Newfoundland and Labrador;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101
Northwest Territories;January;a;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Northwest Territories;February;a;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Northwest Territories;April;a;;;;;1;1;1;;;1;;;;;;;;;;1;;;;;1;;;;;6;;;;
Northwest Territories;May;a;10;5;9;13;37;24;11;1;24;3;5;;2;6;3;15;1;2;8;4;5;14;12;4;4;60;3;22;4;8;1;2;7;
Northwest Territories;June;a;98;59;31;175;185;79;182;17;76;70;90;49;38;48;51;43;34;79;61;15;81;78;76;152;118;125;58;33;14;32;47;37;71;
Northwest Territories;July;a;113;149;130;249;326;56;134;74;228;39;144;71;41;86;206;194;59;89;85;10;121;85;148;77;188;41;112;123;35;88;15;100;118;
Northwest Territories;August;a;13;117;100;30;78;47;22;10;69;53;36;6;4;19;27;5;63;14;86;13;13;22;43;19;77;27;20;77;7;11;7;11;63;
Northwest Territories;September;a;2;1;15;4;13;7;;3;2;6;;2;;1;9;3;9;;;1;4;2;10;5;;;;13;2;;;;6;
Northwest Territories;October;a;;;;;8;1;;;;;;;;;2;1;1;;;;;;;;;;;;;1;;;6;
Northwest Territories;November;a;;;;;1;3;;;;;;;;;1;;;;;;;;;;;4;;;1;1;;;2;
Northwest Territories;December;a;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Northwest Territories;Unspecified;a;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;1;;
Northwest Territories;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304
Nova Scotia;January;a;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Nova Scotia;March;a;34;26;;;1;28;55;1;20;23;4;4;5;2;;3;87;18;2;4;59;20;72;3;1;;1;;2;17;5;7;;
Nova Scotia;April;a;89;208;43;78;63;80;65;44;86;78;19;36;23;75;31;155;69;148;136;104;114;62;157;59;41;1;104;82;51;16;38;45;13;
Nova Scotia;May;a;134;174;138;110;33;145;66;77;91;129;57;139;111;100;137;12;29;165;45;46;63;9;35;85;71;204;59;44;54;45;50;30;58;
Nova Scotia;June;a;58;145;46;20;28;49;45;35;45;97;51;31;31;28;52;39;1;16;37;8;9;6;22;2;23;6;28;11;26;13;22;27;7;
Nova Scotia;July;a;74;162;19;21;57;26;9;108;19;89;25;67;26;30;11;15;6;15;19;7;;8;32;6;13;12;15;12;24;7;11;1;32;
