			Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year
Ontario	Prescribed burn	a																		25	100	1	7	600	1,444	1	985	3,421	3,096	445	7	1	4	2	1	
Ontario	Unspecified	a	26	49	26	40	129	217	3,691	282	26,493	272	65	90	1,851	734	10	44	2,573	714	17	9	2,111	1,438	236	50	1	6	76	164	20	6	24	6	68	
Ontario	Unspecified	e																																		441,474
Parks Canada	Unspecified	e																																		1,014,742
Prince Edward Island	Human activity	a	82	40	41	78	16	16			76	73		13	132	11	13	44	48	18	4	3	5	5	11	76	3	3	33							
Prince Edward Island	Lightning	a																																		
Prince Edward Island	Unspecified	a	20	79	2	9	6	20		107	1	4		16		1	2	6	3	1	1			1	1	5				7						
Prince Edward Island	Unspecified	e																																		8
Quebec	Human activity	a	18,667	42,503	8,127	1,062	793	123,079	9,576	4,714	13,329	3,928	673	5,901	5,943	9,783	816	33,370	65,212	120,758	148	2,246	36,000	2,273	24,782	17,131	8,417	1,461	334	1,693	15,772	5,087	52,090	1,113	19,246	
Quebec	Lightning	a	64,676	395,828	18,984	127,172	115,247	604,648	682,014	388,366	404,978	93,819	38,536	27,191	1,007,807	78,462	2,242	766,771	71,141	221,957	1,333	91,725	278,884	10,125	39,261	1,855,712	55,304	3,919	33,036	36,699	70,489	4,517	7,897	48,370		
Quebec	Natural cause	a																																	10,393	
Quebec	Prescribed burn	a																			115	29	30	1	1		182	778	563	53	55	89	15	220	76	
Quebec	Unspecified	a																													1			4		
Quebec	Unspecified	e																																		4,322,888
Saskatchewan	Human activity	a	35,848	33,955	9,635	132,315	3,770	63,834	732	1,670	158,433	9,135	10,795	39,409	101,682	12,884	7,407	9,333	182,546	4,768	31,062	4,922	208,262	55,506	6,861	12,218	15,530	41,757	2,774	451	47,161	1,531	41,398	6,822	13,287	
Saskatchewan	Lightning	a	180,207	164,220	88,121	475,885	842,249	1,584,600	12,255	2,207	886,264	171,685	130,628	165,725	780,975	113,205	250,726	205,584	1,025,561	208,305	1,099,182	37,655	1,526,789	288,342	220,914	356,635	327,254	1,725,597	251,991	398,567	108,916	46,622	780	949,453		
Saskatchewan	Natural cause	a																																	252,286	
Saskatchewan	Prescribed burn	a																			76	1,231	285	240	1,180	906	2,425	1,673	1,025	780	36,656			128	40	
Saskatchewan	Unspecified	a						375									5	1	328			1			1								774	1		
Saskatchewan	Unspecified	e																																		1,850,829
Yukon	Human activity	a	1,413	805	5,998	57	29	390	15,040	79	63,761	3,280	10	7	23	2,940	11,631	2	4	13,989	12	3	5,262	120	7	6	24	42	2	19	6,487	1,331	12	23		
Yukon	Lightning	a	181,479	119,466	31,817	115,048	421,681	260,990	76,027	11,391	279,912	191,536	7,643	17,328	36,181	45,845	1,708,033	187,437	95,029	24,369	13,056	230,509	141,702	40,344	58,274	198,307	3,137	169,801	21,535	399,261	74,098	254,735	3,452	14,252		
Yukon	Prescribed burn	a																																	10	
Yukon	Unspecified	a						503			59		363																					200	170,357	
Yukon	Unspecified	e																																		373,920
