Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,et0_fao_evapotranspiration (mm)_lag1
11,1990,16,34,117,381,177.33333333333334,217.66666666666666,,181.19694625830024,163.36543902143646,,532.0,1306.0,,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.914444444444444,-3.5166666666666666,72.2,58.94444444444444,0.4836666666666666,1.827956989247312,70.49462365591398,1.106666666666667
12,1990,4,16,34,117,55.666666666666664,201.33333333333334,,53.87330817142528,179.86847046290984,,167.0,1208.0,,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-16.313978494623658,-10.48279569892473,74.0,62.70967741935484,0.2506451612903225,-7.914444444444444,72.2,0.4836666666666666
1,1991,9,4,16,34,18.0,166.33333333333334,113.83333333333333,15.099668870542441,196.56720648843407,154.70078646643438,54.0,998.0,1366.0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-14.073118279569892,-8.796774193548387,74.38709677419355,61.655913978494624,0.3241935483870968,-16.313978494623658,74.0,0.2506451612903225
2,1991,4,9,4,16,9.666666666666666,93.5,114.5,6.027713773344132,146.90507138965626,154.18672269214835,29.0,561.0,1374.0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-4.251190476190476,1.1523809523809525,75.09523809523809,58.46428571428572,0.6772619047619048,-14.073118279569892,74.38709677419355,0.3241935483870968
3,1991,8,4,9,4,5.666666666666667,30.666666666666668,114.41666666666667,2.8867513459532548,43.75233327111442,154.25154092840654,17.0,184.0,1373.0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-6.334408602150538,0.9064516129032258,67.86021505376344,45.2258064516129,1.2089247311827958,-4.251190476190476,75.09523809523809,0.6772619047619048
4,1991,111,8,4,9,7.0,12.5,114.41666666666667,2.6457513110701596,11.41490254010077,154.25154092840654,21.0,75.0,1373.0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,5.781111111111112,12.362222222222222,60.13333333333333,33.97777777777778,2.715777777777778,-6.334408602150538,67.86021505376344,1.2089247311827958
5,1991,201,111,8,4,41.0,25.333333333333332,121.5,60.65476073648322,42.197946237544144,151.7536879887333,123.0,152.0,1458.0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.953763440860214,17.220430107526884,62.16129032258065,36.44086021505377,3.5022580645161288,5.781111111111112,60.13333333333333,2.715777777777778
6,1991,114,201,111,8,106.66666666666667,56.166666666666664,128.75,96.57294307068287,82.42673514501631,153.43172896941965,320.0,337.0,1545.0,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.136666666666663,19.00777777777778,73.13333333333334,48.65555555555556,3.430111111111111,10.953763440860214,62.16129032258065,3.5022580645161288
7,1991,125,114,201,111,142.0,74.5,120.41666666666667,51.117511676528416,80.71864716408471,151.07822075957466,426.0,447.0,1445.0,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.227956989247314,22.776344086021503,67.47311827956989,41.784946236559136,4.347311827956989,14.136666666666663,73.13333333333334,3.430111111111111
8,1991,239,125,114,201,146.66666666666666,93.83333333333333,93.66666666666667,47.37439533475179,75.62384985351294,111.39637119382081,440.0,563.0,1124.0,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,18.623655913978496,24.532258064516128,69.81720430107528,44.43010752688172,3.7154838709677422,17.227956989247314,67.47311827956989,4.347311827956989
9,1991,54,239,125,114,159.33333333333334,133.0,81.83333333333333,69.21223398600388,80.49099328496327,81.67656093433786,478.0,798.0,982.0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.926666666666668,16.797777777777778,71.38888888888889,47.8,2.1356666666666664,18.623655913978496,69.81720430107528,3.7154838709677422
10,1991,66,54,239,125,139.33333333333334,140.66666666666666,76.58333333333333,93.32916657365668,67.31616942954098,81.23418260955435,418.0,844.0,919.0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,0.9268817204301072,6.318279569892473,71.01075268817205,49.655913978494624,1.146989247311828,10.926666666666668,71.38888888888889,2.1356666666666664
11,1991,6,66,54,239,119.66666666666667,133.16666666666666,79.25,103.51972436851518,73.50487512176772,80.2282255931052,359.0,799.0,951.0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.436666666666666,-2.552222222222222,79.84444444444445,67.75555555555556,0.351,0.9268817204301072,71.01075268817205,1.146989247311828
12,1991,7,6,66,54,42.0,100.66666666666667,78.41666666666667,31.74901573277557,80.30857156410309,80.9932189454865,126.0,604.0,941.0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-9.36774193548387,-5.027956989247312,77.74193548387096,67.26881720430109,0.3149462365591398,-7.436666666666666,79.84444444444445,0.351
1,1992,14,7,6,66,26.333333333333332,82.83333333333333,78.66666666666667,34.35597958628695,88.24379109414252,80.74689223778587,79.0,497.0,944.0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.641935483870968,-2.718279569892473,79.69892473118279,68.47311827956989,0.317741935483871,-9.36774193548387,77.74193548387096,0.3149462365591398
2,1992,11,14,7,6,9.0,64.33333333333333,79.08333333333333,4.358898943544534,89.26514810757145,80.36672573932948,27.0,386.0,949.0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.633333333333334,-1.5862068965517242,77.64367816091954,61.72413793103448,0.6117241379310344,-7.641935483870968,79.69892473118279,0.317741935483871
3,1992,61,11,14,7,10.666666666666666,26.333333333333332,79.66666666666667,3.5118845842890156,26.507860469428017,79.79557214114911,32.0,158.0,956.0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,0.2064516129032258,7.186021505376344,67.49462365591398,44.50537634408602,1.5301075268817204,-7.633333333333334,77.64367816091954,0.6117241379310344
4,1992,110,61,11,14,28.666666666666668,27.5,84.08333333333333,28.041635710731377,28.076680715497655,76.88179632436149,86.0,165.0,1009.0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.344444444444445,11.645555555555555,63.64444444444444,37.077777777777776,2.3956666666666666,0.2064516129032258,67.49462365591398,1.5301075268817204
5,1992,91,110,61,11,60.666666666666664,34.833333333333336,84.0,49.50084174368515,42.29144909632046,76.85050422736339,182.0,209.0,1008.0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,9.249462365591398,15.4505376344086,61.61290322580645,35.935483870967744,3.422043010752688,4.344444444444445,63.64444444444444,2.3956666666666666
6,1992,147,91,110,61,87.33333333333333,49.0,74.83333333333333,24.704925284917568,44.85978154204497,67.63381797099238,262.0,294.0,898.0,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.987777777777778,20.81,69.18888888888888,43.977777777777774,3.811111111111111,9.249462365591398,61.61290322580645,3.422043010752688
7,1992,226,147,91,110,116.0,72.33333333333333,77.58333333333333,28.478061731796682,54.10237209833471,70.00059523556448,348.0,434.0,931.0,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,15.568817204301077,20.6,72.3763440860215,46.70967741935484,3.5905376344086024,14.987777777777778,69.18888888888888,3.811111111111111
8,1992,339,226,147,91,154.66666666666666,107.66666666666667,86.0,67.82575715267284,73.9666591557755,81.36896884506457,464.0,646.0,1032.0,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.943010752688172,20.983870967741936,67.06451612903226,40.903225806451616,3.421075268817204,15.568817204301077,72.3763440860215,3.5905376344086024
9,1992,14,339,226,147,237.33333333333334,162.33333333333334,94.33333333333333,96.50043177796326,103.5329255196948,101.17341847570738,712.0,974.0,1132.0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,7.20888888888889,12.97111111111111,74.27777777777779,50.6,1.6923333333333337,14.943010752688172,67.06451612903226,3.421075268817204
10,1992,29,14,339,226,193.0,154.5,91.0,164.99393928262944,113.98377077461511,103.26048262877369,579.0,927.0,1092.0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,3.513978494623656,8.451612903225806,70.53763440860214,50.064516129032256,1.2250537634408605,7.20888888888889,74.27777777777779,1.6923333333333337
11,1992,15,29,14,339,127.33333333333333,141.0,87.91666666666667,183.46207600845838,124.60979094758166,104.61831782361263,382.0,846.0,1055.0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-3.15,0.5277777777777778,79.62222222222222,66.62222222222222,0.4354444444444444,3.513978494623656,70.53763440860214,1.2250537634408605
12,1992,4,15,29,14,19.333333333333332,128.33333333333334,88.66666666666667,8.386497083608711,134.20233480333593,104.00815818817756,58.0,770.0,1064.0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-17.065591397849463,-12.126881720430108,74.40860215053763,64.68817204301075,0.2080645161290322,-3.15,79.62222222222222,0.4354444444444444
1,1993,8,4,15,29,16.0,104.5,88.41666666666667,12.529964086143455,142.65587965450285,104.22568025320066,48.0,627.0,1061.0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-14.859139784946237,-9.21505376344086,74.76344086021506,61.193548387096776,0.3024731182795699,-17.065591397849463,74.40860215053763,0.2080645161290322
2,1993,12,8,4,15,9.0,68.16666666666667,87.91666666666667,5.567764362834168,132.95324992893805,104.62874481911862,27.0,409.0,1055.0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-10.201190476190476,-3.685714285714286,72.26190476190476,53.845238095238095,0.6076190476190477,-14.859139784946237,74.76344086021506,0.3024731182795699
3,1993,29,12,8,4,8.0,13.666666666666666,88.0,4.000000000005796,8.547904226572783,104.56229113438901,24.0,82.0,1056.0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-1.010752688172043,5.356989247311828,59.03225806451613,35.38709677419355,1.52505376344086,-10.201190476190476,72.26190476190476,0.6076190476190477
4,1993,52,29,12,8,16.333333333333332,16.166666666666668,85.33333333333333,11.150485789120493,10.609743949156403,105.71516906147845,49.0,97.0,1024.0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.446666666666667,10.964444444444444,68.94444444444444,39.62222222222223,2.3184444444444443,-1.010752688172043,59.03225806451613,1.52505376344086
5,1993,242,52,29,12,31.0,20.0,80.5,20.074859899885773,17.854971296532355,105.8107229486175,93.0,120.0,966.0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,11.173118279569891,17.870967741935484,62.88172043010753,38.193548387096776,3.496989247311828,4.446666666666667,68.94444444444444,2.3184444444444443
6,1993,342,242,52,29,107.66666666666667,57.833333333333336,93.08333333333333,116.90309377143686,91.94001667754179,115.69038487063285,323.0,347.0,1117.0,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,13.908888888888889,19.33555555555556,65.67777777777778,40.43333333333333,3.748444444444445,11.173118279569891,62.88172043010753,3.496989247311828
7,1993,112,342,242,52,212.0,114.16666666666667,109.33333333333333,147.3091986265624,142.18075350295013,135.88453208737948,636.0,685.0,1312.0,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.578494623655914,19.4741935483871,78.25806451612904,54.107526881720425,3.2364516129032257,13.908888888888889,65.67777777777778,3.748444444444445
