time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month
1990-01-01,-8.201075268817204,-3.5870967741935487,79.87096774193549,67.3978494623656,3.804301075268817,5.774193548387097,15.02258064516129,21.770967741935483,227.18279569892474,0.40946236559139787,1990,1
1990-02-01,-11.107142857142858,-6.042857142857143,72.10714285714286,55.154761904761905,2.192857142857143,4.214285714285714,14.645238095238096,21.201190476190476,234.9047619047619,0.5759523809523809,1990,2
1990-03-01,-4.90752688172043,-0.12903225806451615,71.75268817204302,54.096774193548384,1.2924731182795697,2.440860215053763,14.306451612903226,19.825806451612905,226.09677419354838,1.1701075268817205,1990,3
1990-04-01,1.9677777777777776,6.658888888888888,76.28888888888888,58.35555555555556,3.4122222222222223,5.855555555555555,13.614444444444445,19.045555555555556,166.7,1.7642222222222221,1990,4
1990-05-01,6.974193548387096,11.433333333333334,76.06451612903226,56.0752688172043,5.126881720430108,7.505376344086022,14.832258064516129,20.59462365591398,141.11827956989248,2.3137634408602152,1990,5
1990-06-01,15.345555555555556,20.19888888888889,74.24444444444445,54.988888888888894,1.3433333333333333,2.511111111111111,13.116666666666667,18.231111111111108,192.24444444444444,3.7277777777777774,1990,6
1990-07-01,18.46451612903226,22.697849462365593,73.31182795698925,52.9247311827957,3.2591397849462367,3.3763440860215055,11.065591397849461,15.890322580645162,220.0215053763441,3.7897849462365594,1990,7
1990-08-01,19.068817204301077,23.30537634408602,77.54838709677419,56.817204301075265,3.872043010752688,3.6881720430107525,11.780645161290321,16.372043010752687,229.7956989247312,3.4322580645161294,1990,8
1990-09-01,12.722222222222223,16.598888888888887,76.44444444444444,58.1,2.354444444444445,2.9222222222222225,13.292222222222222,18.614444444444448,218.8,2.147111111111111,1990,9
1990-10-01,7.817204301075269,11.09247311827957,78.53763440860214,62.784946236559136,4.360215053763442,5.451612903225806,15.717204301075268,22.301075268817204,200.05376344086022,1.2244086021505376,1990,10
1990-11-01,-0.2866666666666667,2.7555555555555555,81.37777777777778,70.45555555555555,4.698888888888889,6.233333333333333,16.65,22.087777777777777,214.44444444444443,0.6137777777777778,1990,11
1990-12-01,-5.516129032258065,-0.7193548387096774,78.73118279569891,65.38709677419355,5.490322580645161,6.193548387096774,16.129032258064516,23.018279569892474,228.31182795698925,0.41451612903225804,1990,12
1991-01-01,-13.576344086021505,-8.308602150537634,73.34408602150538,58.45161290322581,1.9591397849462366,3.8924731182795695,14.41720430107527,19.710752688172043,243.3763440860215,0.37043010752688177,1991,1
1991-02-01,-8.73452380952381,-3.3226190476190474,74.29761904761905,56.892857142857146,1.188095238095238,2.2023809523809526,13.517857142857142,19.057142857142857,225.11904761904762,0.6628571428571428,1991,2
1991-03-01,-2.968817204301075,1.2623655913978495,76.87096774193549,60.03225806451613,5.318279569892473,7.344086021505376,15.30752688172043,21.18924731182796,181.88172043010752,1.0704301075268816,1991,3
1991-04-01,1.4088888888888889,6.306666666666667,73.27777777777779,53.72222222222222,2.4955555555555557,3.9555555555555557,11.652222222222223,16.758888888888887,179.93333333333334,1.9825555555555556,1991,4
1991-05-01,9.36236559139785,14.90537634408602,69.34408602150538,49.95698924731183,3.3268817204301073,4.129032258064516,13.303225806451612,18.96021505376344,211.09677419354838,3.000967741935484,1991,5
1991-06-01,15.013333333333332,19.8,67.0,48.6,2.06,2.8222222222222224,13.077777777777778,18.166666666666668,212.0,4.136444444444445,1991,6
1991-07-01,18.134408602150536,22.856989247311827,68.6774193548387,47.36559139784946,1.218279569892473,2.4301075268817205,11.841935483870968,16.996774193548386,240.01075268817203,4.031827956989248,1991,7
1991-08-01,18.12258064516129,22.386021505376345,76.54838709677419,57.39784946236559,5.653763440860215,5.387096774193548,13.294623655913979,18.943010752688174,203.65591397849462,3.3378494623655914,1991,8
1991-09-01,12.052222222222222,16.058888888888887,74.6,55.15555555555556,4.4944444444444445,4.222222222222222,13.597777777777777,19.547777777777778,234.93333333333334,2.2624444444444447,1991,9
