time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month
1990-01-01,-5.403225806451613,-1.0225806451612904,81.48387096774194,72.86021505376344,3.9827956989247313,5.204301075268818,20.813978494623658,30.38279569892473,225.247311827957,0.45688172043010755,1990,1
1990-02-01,-8.914285714285715,-4.6309523809523805,76.58333333333334,66.0,2.9785714285714286,4.583333333333334,19.464285714285715,29.310714285714283,225.29761904761904,0.5761904761904761,1990,2
1990-03-01,-3.9021505376344088,-0.28602150537634397,75.69892473118279,64.59139784946237,1.4569892473118282,2.365591397849462,17.778494623655913,25.9,221.4516129032258,1.131720430107527,1990,3
1990-04-01,2.661111111111111,5.811111111111111,79.47777777777779,67.32222222222222,3.7877777777777775,5.366666666666666,19.333333333333332,26.587777777777777,168.97777777777776,1.6084444444444446,1990,4
1990-05-01,6.386021505376344,9.36774193548387,80.45161290322581,68.03225806451613,5.681720430107527,6.096774193548387,19.850537634408603,27.440860215053764,153.41935483870967,2.136451612903226,1990,5
1990-06-01,14.476666666666667,17.87777777777778,78.9,65.1888888888889,1.0322222222222222,1.6555555555555554,18.243333333333332,24.67777777777778,193.9888888888889,3.509333333333333,1990,6
1990-07-01,18.546236559139782,21.48494623655914,77.65591397849462,63.39784946236559,1.4010752688172043,1.924731182795699,14.408602150537634,20.458064516129035,202.96774193548387,3.897311827956989,1990,7
1990-08-01,19.87741935483871,22.85268817204301,78.87096774193549,64.98924731182795,3.9000000000000004,2.7419354838709675,16.024731182795698,21.555913978494623,218.48387096774192,3.6658064516129034,1990,8
1990-09-01,14.895555555555555,17.544444444444444,74.83333333333333,62.03333333333333,3.0655555555555556,2.9777777777777774,16.891111111111112,23.925555555555555,203.66666666666666,2.587111111111111,1990,9
1990-10-01,10.96989247311828,13.646236559139783,74.79569892473118,64.31182795698925,3.643010752688172,4.451612903225806,22.174193548387095,31.029032258064515,185.82795698924733,1.693978494623656,1990,10
1990-11-01,2.858888888888889,5.432222222222222,78.4,69.48888888888888,3.657777777777778,4.488888888888889,23.28111111111111,31.24888888888889,220.04444444444442,0.8593333333333334,1990,11
1990-12-01,-1.349462365591398,2.38494623655914,77.64516129032258,66.80645161290323,6.574193548387097,6.53763440860215,22.135483870967743,32.152688172043014,236.74193548387098,0.5775268817204301,1990,12
1991-01-01,-9.625806451612904,-5.225806451612903,75.9247311827957,66.04301075268818,2.4505376344086023,3.752688172043011,20.16774193548387,28.768817204301076,234.78494623655914,0.44129032258064516,1991,1
1991-02-01,-6.526190476190476,-2.2869047619047618,79.32142857142857,69.07142857142857,1.1416666666666668,2.5952380952380953,17.83809523809524,26.00357142857143,210.82142857142858,0.6473809523809523,1991,2
1991-03-01,-1.7322580645161292,1.6634408602150539,81.38709677419355,70.48387096774194,3.367741935483871,5.516129032258065,21.083870967741937,29.28817204301075,178.51612903225808,0.966989247311828,1991,3
1991-04-01,1.2633333333333332,4.647777777777778,80.23333333333333,68.87777777777778,2.126666666666667,3.5,15.596666666666666,22.405555555555555,197.45555555555558,1.6997777777777778,1991,4
1991-05-01,7.7075268817204305,11.326881720430107,74.43010752688173,61.55913978494623,2.275268817204301,2.8279569892473115,18.434408602150537,25.733333333333334,200.72043010752688,2.7293548387096775,1991,5
1991-06-01,13.540000000000001,16.634444444444444,73.34444444444445,61.56666666666667,1.051111111111111,2.011111111111111,17.363333333333333,24.105555555555554,211.42222222222225,3.8257777777777777,1991,6
1991-07-01,18.10537634408602,21.316129032258065,73.83870967741936,58.44086021505377,1.7053763440860215,2.3870967741935485,14.80215053763441,21.610752688172045,238.0752688172043,4.149677419354839,1991,7
1991-08-01,18.562365591397846,21.370967741935484,78.30107526881721,66.7741935483871,4.361290322580645,4.010752688172043,18.023655913978494,25.768817204301076,209.5268817204301,3.4305376344086023,1991,8
1991-09-01,14.406666666666666,16.84777777777778,76.9,66.0,5.62,6.966666666666667,18.77888888888889,27.814444444444447,249.0,2.3325555555555555,1991,9
1991-10-01,10.80752688172043,13.036559139784947,76.66666666666666,66.25806451612904,3.465591397849462,4.666666666666666,21.726881720430107,28.848387096774196,181.41935483870967,1.6161290322580646,1991,10
1991-11-01,4.4366666666666665,6.3,79.04444444444445,70.27777777777779,2.606666666666667,4.122222222222222,18.65111111111111,26.02111111111111,219.9888888888889,0.7937777777777778,1991,11
1991-12-01,-3.852688172043011,-0.7666666666666667,76.82795698924731,67.26881720430109,2.7989247311827956,5.086021505376344,21.197849462365593,30.63225806451613,254.46236559139783,0.5372043010752688,1991,12
1992-01-01,-7.626881720430108,-4.3892473118279565,74.49462365591398,64.45161290322581,1.9903225806451614,3.2688172043010755,21.69677419354839,29.662365591397847,246.19354838709677,0.4719354838709678,1992,1
1992-02-01,-8.266666666666666,-4.293103448275862,81.26436781609195,71.86206896551724,5.07816091954023,6.839080459770115,21.77701149425287,31.743678160919536,218.32183908045977,0.5213793103448275,1992,2
1992-03-01,-6.095698924731183,-2.503225806451613,76.29032258064517,65.09677419354838,2.023655913978495,2.8817204301075265,20.353763440860217,27.77311827956989,220.2258064516129,0.9327956989247312,1992,3
1992-04-01,0.36777777777777776,3.405555555555556,77.74444444444445,65.88888888888889,1.5044444444444445,3.1777777777777776,18.875555555555554,26.336666666666666,161.23333333333332,1.6305555555555555,1992,4
1992-05-01,7.347311827956989,11.38494623655914,74.76344086021506,59.236559139784944,1.217204301075269,2.301075268817204,16.688172043010756,22.723655913978497,175.0752688172043,2.862688172043011,1992,5
1992-06-01,13.433333333333334,16.82888888888889,78.67777777777778,65.52222222222223,2.2455555555555553,3.9222222222222225,15.12888888888889,22.305555555555554,199.24444444444444,3.2496666666666667,1992,6
1992-07-01,15.76774193548387,18.37741935483871,79.10752688172043,66.86021505376344,2.4591397849462364,2.946236559139785,15.404301075268817,22.116129032258065,224.38709677419354,3.3272043010752688,1992,7
1992-08-01,18.187096774193545,21.023655913978494,79.34408602150538,65.61290322580645,2.2204301075268815,3.2043010752688175,16.270967741935483,22.61935483870968,218.6451612903226,3.280752688172043,1992,8
1992-09-01,15.738888888888887,18.524444444444445,74.58888888888889,62.43333333333333,1.041111111111111,2.0444444444444447,17.616666666666667,24.565555555555555,223.44444444444443,2.629111111111111,1992,9
1992-10-01,9.063440860215055,11.33978494623656,72.08602150537634,59.70967741935484,3.1344086021505375,3.8494623655913975,19.948387096774194,25.931182795698923,244.68817204301075,1.67752688172043,1992,10
1992-11-01,1.66,3.4955555555555553,75.42222222222222,66.86666666666666,2.497777777777778,4.066666666666666,16.92888888888889,24.683333333333334,227.67777777777778,0.7985555555555556,1992,11
1992-12-01,-2.9526881720430107,-0.5634408602150537,79.6774193548387,72.06451612903226,3.4526881720430107,4.645161290322581,21.83225806451613,30.451612903225808,201.80645161290323,0.5334408602150538,1992,12
1993-01-01,-8.627956989247313,-5.0612903225806445,77.13978494623656,67.80645161290323,2.5720430107526884,3.494623655913979,19.148387096774194,27.106451612903225,249.83870967741936,0.42559139784946237,1993,1
1993-02-01,-11.735714285714286,-6.770238095238095,77.30952380952381,67.6547619047619,2.142857142857143,3.25,17.907142857142855,26.64047619047619,210.95238095238096,0.4866666666666667,1993,2
1993-03-01,-5.254838709677419,-1.282795698924731,79.73118279569891,69.94623655913979,3.824731182795699,4.354838709677419,19.81075268817204,27.53978494623656,181.9247311827957,1.017204301075269,1993,3
1993-04-01,1.5155555555555553,4.557777777777777,82.24444444444445,71.18888888888888,2.9555555555555557,4.877777777777778,18.28666666666667,24.355555555555554,153.17777777777778,1.537888888888889,1993,4
