temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month,Jurisdiction_raw
-5.961290322580646,-0.8946236559139784,73.31182795698925,54.68817204301075,2.333333333333333,3.4731182795698925,14.832258064516129,20.01290322580645,192.78494623655916,1.1980645161290322,1993,3,New Brunswick
1.992222222222222,6.624444444444444,74.81111111111112,55.91111111111111,2.298888888888889,4.788888888888889,13.152222222222225,18.65888888888889,139.43333333333334,1.8154444444444444,1993,4,New Brunswick
8.233333333333334,13.03010752688172,77.48387096774194,57.37634408602151,3.938709677419355,4.752688172043011,11.873118279569892,17.426881720430107,153.40860215053763,2.4701075268817205,1993,5,New Brunswick
13.876666666666669,18.65888888888889,77.32222222222222,56.4,3.9733333333333336,5.066666666666666,12.693333333333332,18.05,217.6888888888889,3.2328888888888887,1993,6,New Brunswick
16.466666666666665,20.69139784946237,80.35483870967742,61.62365591397849,4.031182795698925,5.752688172043011,10.863440860215054,15.85483870967742,189.2150537634409,3.204301075268817,1993,7,New Brunswick
18.231182795698924,22.546236559139786,76.79569892473118,56.66666666666667,2.074193548387097,3.043010752688172,10.975268817204302,15.396774193548389,207.18279569892476,3.4740860215053764,1993,8,New Brunswick
13.244444444444444,16.825555555555557,75.9,56.65555555555556,3.5411111111111118,3.9777777777777774,14.25,20.023333333333333,219.0111111111111,2.347111111111112,1993,9,New Brunswick
4.375268817204301,8.181720430107527,74.30107526881721,55.55913978494623,4.793548387096775,4.623655913978495,15.163440860215054,21.10430107526882,241.23655913978493,1.2578494623655914,1993,10,New Brunswick
-0.7155555555555556,2.98,73.93333333333334,57.477777777777774,3.04,4.522222222222222,16.346666666666668,22.16333333333333,239.7333333333333,0.7799999999999999,1993,11,New Brunswick
-5.797849462365591,-2.496774193548388,75.66666666666666,62.655913978494624,3.0860215053763445,4.419354838709677,15.843010752688173,22.335483870967742,194.93548387096772,0.4798924731182796,1993,12,New Brunswick
-15.79462365591398,-10.159139784946236,72.94623655913979,58.24731182795699,3.8408602150537634,4.139784946236559,16.00215053763441,22.76774193548387,227.48387096774192,0.3238709677419354,1994,1,New Brunswick
-13.132142857142856,-8.75,69.58333333333333,52.72619047619048,1.7345238095238096,2.345238095238096,15.048809523809524,20.70119047619048,233.4047619047619,0.5983333333333334,1994,2,New Brunswick
-4.038709677419355,-0.1172043010752688,78.13978494623656,60.064516129032256,5.587096774193548,6.989247311827957,13.223655913978495,19.03548387096774,215.55913978494624,0.996021505376344,1994,3,New Brunswick
2.123333333333333,6.888888888888888,72.63333333333334,51.38888888888889,3.5766666666666667,5.188888888888888,14.064444444444444,20.20777777777778,221.34444444444443,1.9976666666666667,1994,4,New Brunswick
7.01505376344086,11.576344086021503,77.26881720430109,56.37634408602151,5.939784946236559,6.924731182795699,14.0494623655914,20.10430107526882,171.3763440860215,2.338387096774193,1994,5,New Brunswick
15.272222222222222,20.134444444444444,78.1,58.06666666666667,4.558888888888889,5.577777777777778,14.023333333333332,20.152222222222225,196.13333333333333,3.280666666666667,1994,6,New Brunswick
19.418279569892476,23.583870967741937,77.23655913978494,56.97849462365591,2.997849462365592,3.4516129032258065,12.358064516129032,17.43548387096774,220.91397849462365,3.7229032258064514,1994,7,New Brunswick
16.967741935483872,20.98709677419355,73.48387096774194,53.40860215053764,2.4806451612903224,2.548387096774193,13.113978494623655,17.925806451612903,219.4301075268817,3.4059139784946235,1994,8,New Brunswick
12.03111111111111,15.826666666666666,78.86666666666666,60.27777777777778,2.3855555555555554,4.1,11.936666666666667,17.16111111111111,218.4888888888889,2.0437777777777777,1994,9,New Brunswick
7.617204301075269,11.461290322580645,73.05376344086021,54.84946236559139,0.8838709677419354,1.935483870967742,14.126881720430108,18.583870967741937,241.68817204301075,1.6286021505376342,1994,10,New Brunswick
1.7,5.205555555555555,70.41111111111111,53.18888888888889,2.901111111111111,3.8222222222222224,17.986666666666668,24.24777777777778,233.52222222222224,1.018333333333333,1994,11,New Brunswick
-6.732258064516128,-2.883870967741936,80.38709677419355,68.97849462365592,2.7451612903225806,3.666666666666667,15.16021505376344,21.074193548387097,228.94623655913975,0.3927956989247311,1994,12,New Brunswick
-8.861290322580645,-5.358064516129032,80.98924731182795,69.26881720430109,4.759139784946236,7.032258064516129,14.441935483870967,19.747311827956988,194.23655913978493,0.3306451612903225,1995,1,New Brunswick
-12.159523809523808,-7.113095238095238,72.38095238095238,55.92857142857143,2.6357142857142857,4.095238095238096,15.141666666666667,21.823809523809523,205.54761904761904,0.5577380952380953,1995,2,New Brunswick
-4.530107526881721,-0.646236559139785,78.18279569892472,61.67741935483871,2.672043010752688,4.688172043010753,13.388172043010751,18.108602150537635,187.05376344086025,0.978494623655914,1995,3,New Brunswick
0.0577777777777778,4.391111111111112,77.52222222222221,58.7,1.8322222222222224,4.355555555555555,12.152222222222225,17.45777777777778,234.9888888888889,1.6323333333333332,1995,4,New Brunswick
6.763440860215054,11.410752688172044,79.17204301075269,58.03225806451613,3.843010752688172,4.043010752688172,10.83010752688172,15.778494623655911,139.04301075268816,2.416451612903226,1995,5,New Brunswick
16.378888888888888,21.79777777777777,69.36666666666666,48.01111111111111,2.057777777777777,3.033333333333333,11.53,16.982222222222223,210.2333333333333,4.237333333333334,1995,6,New Brunswick
