time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month
1990-01-01,-32.0258064516129,-30.07204301075269,71.1505376344086,67.97849462365592,0.14408602150537636,0.6344086021505376,16.794623655913977,22.14516129032258,238.53763440860217,0.05473118279569893,1990,1
1990-02-01,-34.46190476190476,-31.975,68.03571428571429,65.03571428571429,0.30238095238095236,1.1428571428571428,18.434523809523807,25.082142857142856,250.02380952380955,0.07261904761904761,1990,2
1990-03-01,-20.488172043010753,-17.338709677419356,75.34408602150538,70.61290322580645,1.227956989247312,4.193548387096774,22.141935483870967,29.566666666666666,222.23655913978493,0.27129032258064517,1990,3
1990-04-01,-16.012222222222224,-12.965555555555556,76.83333333333333,70.52222222222221,0.8966666666666667,1.9777777777777779,19.264444444444447,26.918888888888887,239.06666666666666,0.5755555555555555,1990,4
1990-05-01,-4.743010752688172,-2.448387096774194,81.51612903225806,72.90322580645162,1.0010752688172044,1.967741935483871,17.8494623655914,25.664516129032258,231.68817204301075,1.2695698924731185,1990,5
1990-06-01,2.844444444444444,5.625555555555555,81.44444444444444,69.52222222222221,1.2955555555555556,2.933333333333333,18.54222222222222,25.95,197.74444444444444,1.8953333333333333,1990,6
1990-07-01,9.077419354838709,12.52258064516129,76.97849462365592,60.41935483870968,2.767741935483871,3.5161290322580645,17.9,24.92043010752688,218.67741935483872,2.4134408602150534,1990,7
1990-08-01,7.21505376344086,9.950537634408601,79.56989247311827,65.53763440860216,2.641935483870968,4.763440860215053,16.96021505376344,24.774193548387096,216.9784946236559,1.4933333333333334,1990,8
1990-09-01,1.9633333333333334,4.484444444444445,82.02222222222221,71.44444444444444,1.3533333333333333,3.911111111111111,20.46333333333333,28.357777777777777,207.11111111111111,0.8764444444444445,1990,9
1990-10-01,-8.038709677419355,-5.651612903225806,79.95698924731182,72.74193548387096,0.7225806451612904,3.247311827956989,19.453763440860218,26.30537634408602,166.94623655913978,0.38526881720430106,1990,10
