Jurisdiction,Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,temperature_2m_max (°C)_lag1
British Columbia,6,1990,95,235,147,35,139.0,100.23971268913334,417.0,1,1.2246467991473532e-16,-1.0,5.446666666666667,65.32222222222222,38.93333333333333,2.393444444444444,11.931111111111113
British Columbia,7,1990,775,95,235,147,159.0,70.76722405181653,477.0,1,-0.4999999999999997,-0.8660254037844388,10.031182795698928,69.7741935483871,42.43010752688172,2.998064516129032,16.08494623655914
British Columbia,8,1990,1563,775,95,235,368.3333333333333,359.07288025320616,1105.0,1,-0.8660254037844385,-0.5000000000000004,14.002222222222224,67.8111111111111,41.53333333333333,3.731555555555556,19.74222222222222
British Columbia,9,1990,336,1563,775,95,811.0,734.6618269653052,2433.0,0,-1.0,-1.8369701987210297e-16,18.391397849462365,61.72043010752688,34.935483870967744,4.480860215053763,24.791397849462363
British Columbia,10,1990,60,336,1563,775,891.3333333333334,621.7172454849016,2674.0,0,-0.8660254037844386,0.5000000000000001,18.47311827956989,58.215053763440864,32.73118279569892,3.9355913978494623,24.861290322580647
British Columbia,11,1990,6,60,336,1563,653.0,800.074371543046,1959.0,0,-0.5000000000000004,0.8660254037844384,14.881111111111112,60.46666666666667,32.71111111111112,2.9433333333333334,21.486666666666668
British Columbia,4,1991,204,25,5,2,10.666666666666666,12.503332889007368,32.0,0,0.8660254037844387,-0.4999999999999998,3.468817204301075,75.78494623655915,52.88172043010753,1.0283870967741937,7.808602150537634
British Columbia,5,1991,193,204,25,5,78.0,109.5764573254675,234.0,0,0.49999999999999994,-0.8660254037844387,-3.055913978494624,68.52688172043011,46.29032258064516,1.3292473118279569,2.8806451612903223
British Columbia,6,1991,291,193,204,25,140.66666666666666,100.3211509769168,422.0,1,1.2246467991473532e-16,-1.0,5.472222222222222,63.54444444444445,37.6,2.6014444444444447,11.555555555555555
British Columbia,7,1991,296,291,193,204,229.33333333333334,53.68736660829375,688.0,1,-0.4999999999999997,-0.8660254037844388,10.901075268817204,61.84946236559139,35.494623655913976,3.486236559139785,17.2494623655914
British Columbia,8,1991,573,296,291,193,260.0,58.07753438292643,780.0,1,-0.8660254037844385,-0.5000000000000004,13.408888888888889,68.62222222222222,42.96666666666667,3.6756666666666655,19.02
British Columbia,9,1991,172,573,296,291,386.6666666666667,161.3887645820902,1160.0,0,-1.0,-1.8369701987210297e-16,17.258064516129032,59.01075268817204,34.064516129032256,4.471720430107527,23.44301075268817
British Columbia,10,1991,248,172,573,296,347.0,205.3070870671541,1041.0,0,-0.8660254037844386,0.5000000000000001,18.203225806451613,62.88172043010753,36.67741935483871,3.7229032258064514,24.30322580645161
British Columbia,11,1991,5,248,172,573,331.0,212.99530511257754,993.0,0,-0.5000000000000004,0.8660254037844384,13.366666666666667,65.56666666666666,38.4,2.573,19.74777777777778
British Columbia,4,1992,155,70,2,6,26.0,38.15756805667795,78.0,0,0.8660254037844387,-0.4999999999999998,4.434408602150538,65.6774193548387,42.95698924731183,1.3664516129032258,9.844086021505378
British Columbia,5,1992,243,155,70,2,75.66666666666667,76.65724579798925,227.0,0,0.49999999999999994,-0.8660254037844387,2.551612903225806,68.3978494623656,44.75268817204301,1.676021505376344,8.876344086021506
British Columbia,6,1992,705,243,155,70,156.0,86.50433515148245,468.0,1,1.2246467991473532e-16,-1.0,6.108888888888889,62.0,35.58888888888889,2.488888888888889,12.49222222222222
British Columbia,7,1992,493,705,243,155,367.6666666666667,295.4341438177607,1103.0,1,-0.4999999999999997,-0.8660254037844388,10.964516129032258,54.68817204301075,29.655913978494624,3.821182795698925,17.736559139784948
British Columbia,8,1992,1803,493,705,243,480.3333333333333,231.260315085259,1441.0,1,-0.8660254037844385,-0.5000000000000004,17.266666666666666,57.27777777777778,33.1,4.442777777777778,23.461111111111112
British Columbia,9,1992,197,1803,493,705,1000.3333333333334,703.1652247753249,3001.0,0,-1.0,-1.8369701987210297e-16,17.470967741935485,62.08602150537634,36.215053763440864,4.21236559139785,23.06881720430108
British Columbia,10,1992,126,197,1803,493,831.0,854.688247257443,2493.0,0,-0.8660254037844386,0.5000000000000001,17.38279569892473,54.9247311827957,28.79569892473118,4.016451612903226,24.00537634408602
British Columbia,11,1992,4,126,197,1803,708.6666666666666,948.3851186798186,2126.0,0,-0.5000000000000004,0.8660254037844384,9.28888888888889,67.87777777777778,40.95555555555556,2.07,15.016666666666667
British Columbia,12,1992,1,4,126,197,109.0,97.61659694949803,327.0,0,-2.4492935982947064e-16,1.0,5.393548387096774,73.29032258064517,51.36559139784946,1.153978494623656,10.034408602150538
British Columbia,1,1993,3,1,4,126,43.666666666666664,71.3185342904223,131.0,0,0.49999999999999994,0.8660254037844387,-1.6544444444444444,83.77777777777779,70.11111111111111,0.4244444444444444,1.5455555555555556
British Columbia,2,1993,16,3,1,4,2.6666666666666665,1.5275252319293529,8.0,0,0.8660254037844386,0.5000000000000001,-12.538709677419355,79.51612903225806,69.02150537634408,0.2006451612903225,-8.475268817204302
British Columbia,3,1993,34,16,3,1,6.666666666666667,8.144527815298872,20.0,0,1.0,6.123233995736766e-17,-13.623655913978494,76.20430107526882,62.66666666666667,0.2735483870967742,-8.640860215053763
