Jurisdiction,Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,temperature_2m_max (°C)_lag1
Alberta,5,1990,114,26,8,5,13.0,11.357816691600547,39.0,0,0.49999999999999994,-0.8660254037844387,-2.1763440860215053,67.83870967741936,42.82795698924731,1.4066666666666667,5.023655913978495
Alberta,6,1990,214,114,26,8,49.333333333333336,56.7215420570821,148.0,1,1.2246467991473532e-16,-1.0,2.7533333333333334,64.88888888888889,40.12222222222223,2.2212222222222224,9.282222222222224
Alberta,7,1990,446,214,114,26,118.0,94.06380813043877,354.0,1,-0.4999999999999997,-0.8660254037844388,9.98279569892473,65.13978494623656,39.204301075268816,3.4306451612903226,16.177419354838708
Alberta,8,1990,381,446,214,114,258.0,170.31735084835015,774.0,1,-0.8660254037844385,-0.5000000000000004,14.965555555555556,67.8,42.34444444444444,3.8896666666666655,20.538888888888888
Alberta,9,1990,117,381,446,214,347.0,119.67873662434776,1041.0,0,-1.0,-1.8369701987210297e-16,17.40967741935484,69.2258064516129,43.60215053763441,4.09,22.996774193548383
Alberta,10,1990,34,117,381,446,314.6666666666667,174.24216864276377,944.0,0,-0.8660254037844386,0.5000000000000001,17.098924731182798,67.20430107526882,42.94623655913978,3.51,23.031182795698925
Alberta,11,1990,16,34,117,381,177.33333333333334,181.19694625830024,532.0,0,-0.5000000000000004,0.8660254037844384,12.963333333333331,64.66666666666667,40.2,2.7728888888888887,19.342222222222222
Alberta,12,1990,4,16,34,117,55.666666666666664,53.87330817142528,167.0,0,-2.4492935982947064e-16,1.0,1.827956989247312,70.49462365591398,50.0,1.106666666666667,6.482795698924731
Alberta,1,1991,9,4,16,34,18.0,15.099668870542441,54.0,0,0.49999999999999994,0.8660254037844387,-7.914444444444444,72.2,58.94444444444444,0.4836666666666666,-3.5166666666666666
Alberta,2,1991,4,9,4,16,9.666666666666666,6.027713773344132,29.0,0,0.8660254037844386,0.5000000000000001,-16.313978494623658,74.0,62.70967741935484,0.2506451612903225,-10.48279569892473
Alberta,3,1991,8,4,9,4,5.666666666666667,2.8867513459532548,17.0,0,1.0,6.123233995736766e-17,-14.073118279569892,74.38709677419355,61.655913978494624,0.3241935483870968,-8.796774193548387
Alberta,4,1991,111,8,4,9,7.0,2.6457513110701596,21.0,0,0.8660254037844387,-0.4999999999999998,-4.251190476190476,75.09523809523809,58.46428571428572,0.6772619047619048,1.1523809523809525
Alberta,5,1991,201,111,8,4,41.0,60.65476073648322,123.0,0,0.49999999999999994,-0.8660254037844387,-6.334408602150538,67.86021505376344,45.2258064516129,1.2089247311827958,0.9064516129032258
Alberta,6,1991,114,201,111,8,106.66666666666667,96.57294307068287,320.0,1,1.2246467991473532e-16,-1.0,5.781111111111112,60.13333333333333,33.97777777777778,2.715777777777778,12.362222222222222
Alberta,7,1991,125,114,201,111,142.0,51.117511676528416,426.0,1,-0.4999999999999997,-0.8660254037844388,10.953763440860214,62.16129032258065,36.44086021505377,3.5022580645161288,17.220430107526884
Alberta,8,1991,239,125,114,201,146.66666666666666,47.37439533475179,440.0,1,-0.8660254037844385,-0.5000000000000004,14.136666666666663,73.13333333333334,48.65555555555556,3.430111111111111,19.00777777777778
Alberta,9,1991,54,239,125,114,159.33333333333334,69.21223398600388,478.0,0,-1.0,-1.8369701987210297e-16,17.227956989247314,67.47311827956989,41.784946236559136,4.347311827956989,22.776344086021503
Alberta,10,1991,66,54,239,125,139.33333333333334,93.32916657365668,418.0,0,-0.8660254037844386,0.5000000000000001,18.623655913978496,69.81720430107528,44.43010752688172,3.7154838709677422,24.532258064516128
Alberta,11,1991,6,66,54,239,119.66666666666667,103.51972436851518,359.0,0,-0.5000000000000004,0.8660254037844384,10.926666666666668,71.38888888888889,47.8,2.1356666666666664,16.797777777777778
Alberta,12,1991,7,6,66,54,42.0,31.74901573277557,126.0,0,-2.4492935982947064e-16,1.0,0.9268817204301072,71.01075268817205,49.655913978494624,1.146989247311828,6.318279569892473
Alberta,1,1992,14,7,6,66,26.333333333333332,34.35597958628695,79.0,0,0.49999999999999994,0.8660254037844387,-7.436666666666666,79.84444444444445,67.75555555555556,0.351,-2.552222222222222
Alberta,2,1992,11,14,7,6,9.0,4.358898943544534,27.0,0,0.8660254037844386,0.5000000000000001,-9.36774193548387,77.74193548387096,67.26881720430109,0.3149462365591398,-5.027956989247312
Alberta,3,1992,61,11,14,7,10.666666666666666,3.5118845842890156,32.0,0,1.0,6.123233995736766e-17,-7.641935483870968,79.69892473118279,68.47311827956989,0.317741935483871,-2.718279569892473
Alberta,4,1992,110,61,11,14,28.666666666666668,28.041635710731377,86.0,0,0.8660254037844387,-0.4999999999999998,-7.633333333333334,77.64367816091954,61.72413793103448,0.6117241379310344,-1.5862068965517242
Alberta,5,1992,91,110,61,11,60.666666666666664,49.50084174368515,182.0,0,0.49999999999999994,-0.8660254037844387,0.2064516129032258,67.49462365591398,44.50537634408602,1.5301075268817204,7.186021505376344
Alberta,6,1992,147,91,110,61,87.33333333333333,24.704925284917568,262.0,1,1.2246467991473532e-16,-1.0,4.344444444444445,63.64444444444444,37.077777777777776,2.3956666666666666,11.645555555555555
