Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
11,1990,16,34,117,381,177.33333333333334,217.66666666666666,,181.19694625830024,163.36543902143646,,532.0,1306.0,,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.914444444444444,-3.5166666666666666,72.2,58.94444444444444,0.4836666666666666,1.827956989247312,70.49462365591398,1.106666666666667,-0.0,0.0,0,48.856200716845876,7.389555555555555
12,1990,4,16,34,117,55.666666666666664,201.33333333333334,,53.87330817142528,179.86847046290984,,167.0,1208.0,,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-16.313978494623658,-10.48279569892473,74.0,62.70967741935484,0.2506451612903225,-7.914444444444444,72.2,0.4836666666666666,-0.0,0.0,0,22.308351254480286,4.363222222222222
1,1991,9,4,16,34,18.0,166.33333333333334,113.83333333333333,15.099668870542441,196.56720648843407,154.70078646643438,54.0,998.0,1366.0,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-14.073118279569892,-8.796774193548387,74.38709677419355,61.655913978494624,0.3241935483870968,-16.313978494623658,74.0,0.2506451612903225,-0.0,0.0,0,-7.516666666666666,1.840978494623656
2,1991,4,9,4,16,9.666666666666666,93.5,114.5,6.027713773344132,146.90507138965626,154.18672269214835,29.0,561.0,1374.0,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-4.251190476190476,1.1523809523809525,75.09523809523809,58.46428571428572,0.6772619047619048,-14.073118279569892,74.38709677419355,0.3241935483870968,0.0,0.0,0,-22.796236559139786,1.058505376344086
3,1991,8,4,9,4,5.666666666666667,30.666666666666668,114.41666666666667,2.8867513459532548,43.75233327111442,154.25154092840654,17.0,184.0,1373.0,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-6.334408602150538,0.9064516129032258,67.86021505376344,45.2258064516129,1.2089247311827958,-4.251190476190476,75.09523809523809,0.6772619047619048,0.0,0.0,0,-18.127188940092164,1.2521006144393243
4,1991,111,8,4,9,7.0,12.5,114.41666666666667,2.6457513110701596,11.41490254010077,154.25154092840654,21.0,75.0,1373.0,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,5.781111111111112,12.362222222222222,60.13333333333333,33.97777777777778,2.715777777777778,-6.334408602150538,67.86021505376344,1.2089247311827958,0.0,0.0,0,-6.737941628264207,2.2103801843317976
5,1991,201,111,8,4,41.0,25.333333333333332,121.5,60.65476073648322,42.197946237544144,151.7536879887333,123.0,152.0,1458.0,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.953763440860214,17.220430107526884,62.16129032258065,36.44086021505377,3.5022580645161288,5.781111111111112,60.13333333333333,2.715777777777778,0.0,0.0,0,14.421054787506403,4.601964413722479
6,1991,114,201,111,8,106.66666666666667,56.166666666666664,128.75,96.57294307068287,82.42673514501631,153.43172896941965,320.0,337.0,1545.0,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.136666666666663,19.00777777777778,73.13333333333334,48.65555555555556,3.430111111111111,10.953763440860214,62.16129032258065,3.5022580645161288,19.00777777777778,0.06907809353322891,201,30.489103942652335,7.426960573476702
7,1991,125,114,201,111,142.0,74.5,120.41666666666667,51.117511676528416,80.71864716408471,151.07822075957466,426.0,447.0,1445.0,1,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.227956989247314,22.776344086021503,67.47311827956989,41.784946236559136,4.347311827956989,14.136666666666663,73.13333333333334,3.430111111111111,22.776344086021503,0.10160844433274692,114,48.590430107526885,9.648146953405018
8,1991,239,125,114,201,146.66666666666666,93.83333333333333,93.66666666666667,47.37439533475179,75.62384985351294,111.39637119382081,440.0,563.0,1124.0,1,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,18.623655913978496,24.532258064516128,69.81720430107528,44.43010752688172,3.7154838709677422,17.227956989247314,67.47311827956989,4.347311827956989,24.532258064516128,0.08178461538461539,125,59.004551971326165,11.27968100358423
9,1991,54,239,125,114,159.33333333333334,133.0,81.83333333333333,69.21223398600388,80.49099328496327,81.67656093433786,478.0,798.0,982.0,0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.926666666666668,16.797777777777778,71.38888888888889,47.8,2.1356666666666664,18.623655913978496,69.81720430107528,3.7154838709677422,0.0,0.0,0,66.31637992831541,11.492906810035842
10,1991,66,54,239,125,139.33333333333334,140.66666666666666,76.58333333333333,93.32916657365668,67.31616942954098,81.23418260955435,418.0,844.0,919.0,0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,0.9268817204301072,6.318279569892473,71.01075268817205,49.655913978494624,1.146989247311828,10.926666666666668,71.38888888888889,2.1356666666666664,0.0,0.0,0,64.10637992831542,10.198462365591396
11,1991,6,66,54,239,119.66666666666667,133.16666666666666,79.25,103.51972436851518,73.50487512176772,80.2282255931052,359.0,799.0,951.0,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.436666666666666,-2.552222222222222,79.84444444444445,67.75555555555556,0.351,0.9268817204301072,71.01075268817205,1.146989247311828,-0.0,0.0,0,47.648315412186385,6.998139784946238
12,1991,7,6,66,54,42.0,100.66666666666667,78.41666666666667,31.74901573277557,80.30857156410309,80.9932189454865,126.0,604.0,941.0,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-9.36774193548387,-5.027956989247312,77.74193548387096,67.26881720430109,0.3149462365591398,-7.436666666666666,79.84444444444445,0.351,-0.0,0.0,0,20.563835125448033,3.633655913978495
1,1992,14,7,6,66,26.333333333333332,82.83333333333333,78.66666666666667,34.35597958628695,88.24379109414252,80.74689223778587,79.0,497.0,944.0,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.641935483870968,-2.718279569892473,79.69892473118279,68.47311827956989,0.317741935483871,-9.36774193548387,77.74193548387096,0.3149462365591398,-0.0,0.0,0,-1.2618996415770578,1.8129354838709686
2,1992,11,14,7,6,9.0,64.33333333333333,79.08333333333333,4.358898943544534,89.26514810757145,80.36672573932948,27.0,386.0,949.0,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.633333333333334,-1.5862068965517242,77.64367816091954,61.72413793103448,0.6117241379310344,-7.641935483870968,79.69892473118279,0.317741935483871,-0.0,0.0,0,-10.298458781362005,0.9836881720430116
3,1992,61,11,14,7,10.666666666666666,26.333333333333332,79.66666666666667,3.5118845842890156,26.507860469428017,79.79557214114911,32.0,158.0,956.0,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,0.2064516129032258,7.186021505376344,67.49462365591398,44.50537634408602,1.5301075268817204,-7.633333333333334,77.64367816091954,0.6117241379310344,0.0,0.0,0,-9.332443455691507,1.244412309974046
4,1992,110,61,11,14,28.666666666666668,27.5,84.08333333333333,28.041635710731377,28.076680715497655,76.88179632436149,86.0,165.0,1009.0,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.344444444444445,11.645555555555555,63.64444444444444,37.077777777777776,2.3956666666666666,0.2064516129032258,67.49462365591398,1.5301075268817204,0.0,0.0,0,2.8815350389321495,2.4595736002966264
5,1992,91,110,61,11,60.666666666666664,34.833333333333336,84.0,49.50084174368515,42.29144909632046,76.85050422736339,182.0,209.0,1008.0,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,9.249462365591398,15.4505376344086,61.61290322580645,35.935483870967744,3.422043010752688,4.344444444444445,63.64444444444444,2.3956666666666666,0.0,0.0,0,17.245370164380176,4.537498331479423
6,1992,147,91,110,61,87.33333333333333,49.0,74.83333333333333,24.704925284917568,44.85978154204497,67.63381797099238,262.0,294.0,898.0,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.987777777777778,20.81,69.18888888888888,43.977777777777774,3.811111111111111,9.249462365591398,61.61290322580645,3.422043010752688,20.81,0.08473320158102766,91,34.282114695340496,7.3478172043010765
7,1992,226,147,91,110,116.0,72.33333333333333,77.58333333333333,28.478061731796682,54.10237209833471,70.00059523556448,348.0,434.0,931.0,1,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,15.568817204301077,20.6,72.3763440860215,46.70967741935484,3.5905376344086024,14.987777777777778,69.18888888888888,3.811111111111111,20.6,0.07525805724588687,147,47.90609318996415,9.628820788530467
8,1992,339,226,147,91,154.66666666666666,107.66666666666667,86.0,67.82575715267284,73.9666591557755,81.36896884506457,464.0,646.0,1032.0,1,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.943010752688172,20.983870967741936,67.06451612903226,40.903225806451616,3.421075268817204,15.568817204301077,72.3763440860215,3.5905376344086024,20.983870967741936,0.0816422889402104,226,56.8605376344086,10.823691756272403
9,1992,14,339,226,147,237.33333333333334,162.33333333333334,94.33333333333333,96.50043177796326,103.5329255196948,101.17341847570738,712.0,974.0,1132.0,0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,7.20888888888889,12.97111111111111,74.27777777777779,50.6,1.6923333333333337,14.943010752688172,67.06451612903226,3.421075268817204,0.0,0.0,0,62.39387096774193,10.822724014336918
10,1992,29,14,339,226,193.0,154.5,91.0,164.99393928262944,113.98377077461511,103.26048262877369,579.0,927.0,1092.0,0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,3.513978494623656,8.451612903225806,70.53763440860214,50.064516129032256,1.2250537634408605,7.20888888888889,74.27777777777779,1.6923333333333337,0.0,0.0,0,54.55498207885305,8.703946236559142
11,1992,15,29,14,339,127.33333333333333,141.0,87.91666666666667,183.46207600845838,124.60979094758166,104.61831782361263,382.0,846.0,1055.0,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-3.15,0.5277777777777778,79.62222222222222,66.62222222222222,0.4354444444444444,3.513978494623656,70.53763440860214,1.2250537634408605,0.0,0.0,0,42.40659498207886,6.3384623655914
12,1992,4,15,29,14,19.333333333333332,128.33333333333334,88.66666666666667,8.386497083608711,134.20233480333593,104.00815818817756,58.0,770.0,1064.0,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-17.065591397849463,-12.126881720430108,74.40860215053763,64.68817204301075,0.2080645161290322,-3.15,79.62222222222222,0.4354444444444444,-0.0,0.0,0,21.950501792114697,3.35283154121864
1,1993,8,4,15,29,16.0,104.5,88.41666666666667,12.529964086143455,142.65587965450285,104.22568025320066,48.0,627.0,1061.0,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-14.859139784946237,-9.21505376344086,74.76344086021506,61.193548387096776,0.3024731182795699,-17.065591397849463,74.40860215053763,0.2080645161290322,-0.0,0.0,0,-3.1474910394265194,1.8685627240143385
2,1993,12,8,4,15,9.0,68.16666666666667,87.91666666666667,5.567764362834168,132.95324992893805,104.62874481911862,27.0,409.0,1055.0,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-10.201190476190476,-3.685714285714286,72.26190476190476,53.845238095238095,0.6076190476190477,-14.859139784946237,74.76344086021506,0.3024731182795699,-0.0,0.0,0,-20.814157706093184,0.9459820788530479
3,1993,29,12,8,4,8.0,13.666666666666666,88.0,4.000000000005796,8.547904226572783,104.56229113438901,24.0,82.0,1056.0,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-1.010752688172043,5.356989247311828,59.03225806451613,35.38709677419355,1.52505376344086,-10.201190476190476,72.26190476190476,0.6076190476190477,0.0,0.0,0,-25.02764976958525,1.1181566820276512
4,1993,52,29,12,8,16.333333333333332,16.166666666666668,85.33333333333333,11.150485789120493,10.609743949156403,105.71516906147845,49.0,97.0,1024.0,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.446666666666667,10.964444444444444,68.94444444444444,39.62222222222223,2.3184444444444443,-1.010752688172043,59.03225806451613,1.52505376344086,0.0,0.0,0,-7.543778801843314,2.435145929339479
5,1993,242,52,29,12,31.0,20.0,80.5,20.074859899885773,17.854971296532355,105.8107229486175,93.0,120.0,966.0,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,11.173118279569891,17.870967741935484,62.88172043010753,38.193548387096776,3.496989247311828,4.446666666666667,68.94444444444444,2.3184444444444443,0.0,0.0,0,12.63571940604199,4.451117255504354
6,1993,342,242,52,29,107.66666666666667,57.833333333333336,93.08333333333333,116.90309377143686,91.94001667754179,115.69038487063285,323.0,347.0,1117.0,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,13.908888888888889,19.33555555555556,65.67777777777778,40.43333333333333,3.748444444444445,11.173118279569891,62.88172043010753,3.496989247311828,19.33555555555556,0.09046929471708234,242,34.192401433691764,7.340487455197134
7,1993,112,342,242,52,212.0,114.16666666666667,109.33333333333333,147.3091986265624,142.18075350295013,135.88453208737948,636.0,685.0,1312.0,1,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.578494623655914,19.4741935483871,78.25806451612904,54.107526881720425,3.2364516129032257,13.908888888888889,65.67777777777778,3.748444444444445,19.4741935483871,0.05872975609756098,342,48.17096774193549,9.563878136200719
8,1993,35,112,342,242,232.0,131.5,99.83333333333333,115.32562594670799,132.67064483147732,130.87942635274746,696.0,789.0,1198.0,1,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,15.088172043010752,20.44301075268817,75.3225806451613,50.44086021505377,2.996989247311828,14.578494623655914,78.25806451612904,3.2364516129032257,20.44301075268817,0.05826086956521739,112,56.680716845878145,10.4818853046595
9,1993,17,35,112,342,163.0,135.33333333333334,74.5,159.7278936191172,128.80320906975365,107.75603758659483,489.0,812.0,894.0,0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.156666666666666,16.13,71.18888888888888,47.01111111111111,2.148,15.088172043010752,75.3225806451613,2.996989247311828,0.0,0.0,0,59.25275985663083,9.9818853046595
10,1993,19,17,35,112,54.666666666666664,133.33333333333334,74.75,50.461206221545844,130.86124967562654,107.60628994795628,164.0,800.0,897.0,0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,3.823655913978495,9.416129032258064,74.98924731182795,53.68817204301075,1.1326881720430109,10.156666666666666,71.18888888888888,2.148,0.0,0.0,0,56.047204301075276,8.381440860215056
11,1993,7,19,17,35,23.666666666666668,127.83333333333333,73.91666666666667,9.865765724634983,135.57199809203473,108.03068447380488,71.0,767.0,887.0,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-5.518888888888889,-0.648888888888889,74.6,60.81111111111111,0.487,3.823655913978495,74.98924731182795,1.1326881720430109,-0.0,0.0,0,45.98913978494624,6.277677419354841
12,1993,1,7,19,17,14.333333333333334,88.66666666666667,73.25,6.429100507332588,129.81628043765028,108.45118298529108,43.0,532.0,879.0,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.737634408602151,-2.650537634408602,79.93548387096774,69.17204301075269,0.2891397849462365,-5.518888888888889,74.6,0.487,-0.0,0.0,0,24.89724014336918,3.7676881720430124
1,1994,4,1,7,19,9.0,31.833333333333332,73.0,9.165151389914506,40.960550126513894,108.6286417947947,27.0,191.0,876.0,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-17.549462365591395,-13.406451612903227,77.24731182795698,66.7741935483871,0.1853763440860215,-7.737634408602151,79.93548387096774,0.2891397849462365,-0.0,0.0,0,6.11670250896058,1.9088279569892488
3,1994,12,,4,1,,,,,,,,,,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-1.1741935483870969,5.1,71.47311827956989,48.96774193548387,1.403010752688172,-18.97738095238095,70.67857142857143,0.3344047619047619,0.0,0.0,,-29.458179723502298,0.8089208909370212
4,1994,64,12,,4,,,,,,,,,,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.373333333333333,11.323333333333332,58.322222222222216,34.65555555555556,2.612222222222222,-1.1741935483870969,71.47311827956989,1.403010752688172,0.0,0.0,0,-21.707642089093696,1.922791858678957
5,1994,132,64,12,,,,,,,,,,,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.708602150537631,17.234408602150538,63.795698924731184,37.40860215053764,3.453010752688172,4.373333333333333,58.322222222222216,2.612222222222222,0.0,0.0,0,3.022142857142864,4.349637736815158
6,1994,231,132,64,12,69.33333333333333,,,60.177515180783054,,,208.0,,,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.434444444444445,19.65333333333333,69.93333333333334,44.88888888888889,3.6876666666666655,10.708602150537631,63.795698924731184,3.453010752688172,19.65333333333333,0.08036077481840191,132,33.65774193548388,7.468243727598568
7,1994,223,231,132,64,142.33333333333334,,,83.97817176703337,,,427.0,,,1,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.576344086021507,22.76881720430108,73.34408602150538,49.08602150537634,3.947634408602151,14.434444444444445,69.93333333333334,3.6876666666666655,22.76881720430108,0.07881708887934738,231,48.211075268817204,9.752899641577061
8,1994,118,223,231,132,195.33333333333334,,,54.99393905998505,,,586.0,,,1,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,16.879569892473118,22.4,70.93548387096774,45.94623655913978,3.4386021505376343,17.576344086021507,73.34408602150538,3.947634408602151,22.4,0.0732455336692625,223,59.65655913978495,11.088311827956991
9,1994,83,118,223,231,190.66666666666666,130.0,,63.05817419917382,86.34581634335272,,572.0,780.0,,0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,13.10777777777778,19.308888888888887,66.71111111111111,43.87777777777777,2.6318888888888887,16.879569892473118,70.93548387096774,3.4386021505376343,0.0,0.0,0,64.82215053763441,11.073903225806452
10,1994,25,83,118,223,141.33333333333334,141.83333333333334,,72.85830998131483,70.31761277707503,,424.0,851.0,,0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,4.333333333333334,8.98279569892473,72.44086021505376,52.064516129032256,1.200752688172043,13.10777777777778,66.71111111111111,2.6318888888888887,0.0,0.0,0,64.47770609318997,10.018125448028677
11,1994,30,25,83,118,75.33333333333333,135.33333333333334,,46.97162263892291,80.07662996571887,,226.0,812.0,,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-5.423333333333333,-1.332222222222222,69.13333333333334,55.37777777777777,0.5305555555555556,4.333333333333334,72.44086021505376,1.200752688172043,-0.0,0.0,0,50.691684587813626,7.271243727598567
12,1994,9,30,25,83,46.0,118.33333333333333,,32.14031735997713,91.00695944083982,,138.0,710.0,,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-11.748387096774191,-6.887096774193548,78.16129032258064,67.80645161290323,0.2247311827956989,-5.423333333333333,69.13333333333334,0.5305555555555556,-0.0,0.0,0,26.959462365591403,4.363197132616489
1,1995,10,9,30,25,21.333333333333332,81.33333333333333,,10.969655114605265,80.56963861571343,,64.0,488.0,,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-12.141935483870968,-6.8247311827956985,79.46236559139786,66.98924731182795,0.2427956989247311,-11.748387096774191,78.16129032258064,0.2247311827956989,-0.0,0.0,0,0.7634767025089682,1.9560394265232992
2,1995,6,10,9,30,16.333333333333332,45.833333333333336,,11.846237095946814,44.530513882804684,,49.0,275.0,,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-10.45,-4.351190476190476,73.92857142857143,56.44047619047619,0.5320238095238096,-12.141935483870968,79.46236559139786,0.2427956989247311,-0.0,0.0,0,-15.04405017921146,0.9980824372759873
3,1995,29,6,10,9,8.333333333333334,27.166666666666668,78.58333333333333,2.0816659994792315,28.992527772973844,81.57813692554167,25.0,163.0,943.0,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-5.391397849462366,1.4494623655913978,70.34408602150538,47.774193548387096,1.1804301075268815,-10.45,73.92857142857143,0.5320238095238096,0.0,0.0,0,-18.063018433179714,0.9995506912442413
4,1995,57,29,6,10,15.0,18.166666666666668,80.0,12.288205727446677,10.98028536362599,80.45665123078842,45.0,109.0,960.0,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,1.9288888888888889,8.077777777777778,67.33333333333333,40.68888888888889,2.0411111111111118,-5.391397849462366,70.34408602150538,1.1804301075268815,0.0,0.0,0,-9.72645929339477,1.9552496159754238
5,1995,215,57,29,6,30.666666666666668,23.5,79.41666666666667,25.540817005988345,19.460215826141106,80.60843440341525,92.0,141.0,953.0,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,10.325806451612904,17.166666666666664,59.39784946236559,32.58064516129032,3.74989247311828,1.9288888888888889,67.33333333333333,2.0411111111111118,0.0,0.0,0,5.176049667178705,3.7535650281618045
6,1995,272,215,57,29,100.33333333333333,54.333333333333336,86.33333333333333,100.28625695145557,81.01769354077331,88.68671452553271,301.0,326.0,1036.0,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,15.77,21.59777777777778,67.23333333333333,41.15555555555556,4.058111111111112,10.325806451612904,59.39784946236559,3.74989247311828,21.59777777777778,0.09626515550869795,215,26.693906810035845,6.971433691756275
