time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
1990-01-01,-7.2172043010752684,-3.096774193548387,80.82795698924731,67.30107526881721,1.8978494623655913,5.365591397849463,8.69032258064516,12.411827956989248,195.72043010752688,0.30526881720430105
1990-02-01,-8.708333333333332,-2.7035714285714287,74.02380952380952,55.714285714285715,1.2333333333333332,4.0,8.808333333333334,12.864285714285714,190.51190476190476,0.6057142857142858
1990-03-01,-0.410752688172043,5.854838709677419,70.7741935483871,46.817204301075265,0.7838709677419355,2.5913978494623655,7.102150537634408,11.17741935483871,198.1505376344086,1.463763440860215
1990-04-01,5.446666666666667,11.931111111111111,65.32222222222222,38.93333333333333,1.2277777777777779,3.5222222222222226,6.862222222222223,11.044444444444444,186.6888888888889,2.393444444444444
1990-05-01,10.031182795698927,16.08494623655914,69.7741935483871,42.43010752688172,2.725806451612903,6.043010752688172,6.849462365591398,11.625806451612902,201.36559139784944,2.9980645161290322
1990-06-01,14.002222222222223,19.74222222222222,67.8111111111111,41.53333333333333,2.752222222222222,4.466666666666667,7.944444444444445,12.93888888888889,213.26666666666668,3.731555555555556
1990-07-01,18.391397849462365,24.791397849462363,61.72043010752688,34.935483870967744,1.4247311827956988,2.3763440860215055,6.018279569892473,10.129032258064516,219.25806451612902,4.480860215053763
1990-08-01,18.473118279569892,24.861290322580647,58.215053763440864,32.73118279569892,0.964516129032258,2.5053763440860215,6.998924731182796,11.283870967741937,209.3010752688172,3.9355913978494623
1990-09-01,14.881111111111112,21.486666666666668,60.46666666666667,32.711111111111116,0.43555555555555553,0.8111111111111111,7.334444444444444,11.414444444444445,216.34444444444443,2.9433333333333334
1990-10-01,3.468817204301075,7.808602150537634,75.78494623655915,52.88172043010753,2.8913978494623658,6.580645161290323,9.138709677419355,14.33010752688172,194.0,1.0283870967741935
1990-11-01,-4.776666666666667,-0.6855555555555556,80.11111111111111,65.97777777777777,3.623333333333333,7.188888888888888,8.922222222222222,13.243333333333334,207.7,0.4165555555555555
1990-12-01,-12.36774193548387,-7.95483870967742,79.25806451612904,69.35483870967742,2.398924731182796,6.602150537634409,9.3,12.975268817204302,203.752688172043,0.2189247311827957
1991-01-01,-12.070967741935483,-7.720430107526882,76.68817204301075,63.39784946236559,0.7666666666666666,2.5698924731182795,7.612903225806452,10.68494623655914,207.752688172043,0.27946236559139787
1991-02-01,-0.44642857142857145,4.28452380952381,80.60714285714286,63.952380952380956,0.9892857142857142,3.273809523809524,8.322619047619048,12.522619047619047,179.20238095238096,0.7397619047619048
1991-03-01,-3.055913978494624,2.8806451612903223,68.52688172043011,46.29032258064516,0.8365591397849462,2.8494623655913975,7.624731182795699,11.840860215053763,192.88172043010752,1.3292473118279569
1991-04-01,5.472222222222222,11.555555555555555,63.544444444444444,37.6,1.1422222222222222,2.8222222222222224,6.865555555555556,11.541111111111112,204.96666666666667,2.6014444444444447
1991-05-01,10.901075268817204,17.2494623655914,61.84946236559139,35.494623655913976,1.7752688172043012,4.516129032258065,7.2924731182795695,12.143010752688172,198.16129032258064,3.486236559139785
1991-06-01,13.408888888888889,19.02,68.62222222222222,42.96666666666667,3.3722222222222222,5.933333333333334,6.88,11.042222222222222,208.22222222222223,3.6756666666666664
