Year,Month,Jurisdiction,Number_fires
2004,3.0,British Columbia,43.0
2004,4.0,British Columbia,178.0
2004,5.0,British Columbia,132.0
2004,6.0,British Columbia,637.0
2004,7.0,British Columbia,630.0
2004,8.0,British Columbia,719.0
2004,9.0,British Columbia,38.0
2004,10.0,British Columbia,36.0
2004,11.0,British Columbia,2.0
2004,12.0,British Columbia,1.0
2004,,British Columbia,
2004,,British Columbia,
2005,1.0,British Columbia,2.0
2005,2.0,British Columbia,9.0
2005,3.0,British Columbia,15.0
2005,4.0,British Columbia,116.0
2005,5.0,British Columbia,275.0
2005,6.0,British Columbia,90.0
2005,7.0,British Columbia,146.0
2005,8.0,British Columbia,254.0
2005,9.0,British Columbia,84.0
2005,10.0,British Columbia,8.0
2005,11.0,British Columbia,7.0
2005,12.0,British Columbia,
2005,,British Columbia,
2005,,British Columbia,
2006,1.0,British Columbia,3.0
2006,2.0,British Columbia,3.0
2006,3.0,British Columbia,9.0
2006,4.0,British Columbia,176.0
2006,5.0,British Columbia,203.0
2006,6.0,British Columbia,233.0
2006,7.0,British Columbia,1086.0
2006,8.0,British Columbia,507.0
2006,9.0,British Columbia,285.0
2006,10.0,British Columbia,80.0
2006,11.0,British Columbia,2.0
2006,12.0,British Columbia,
2006,,British Columbia,
2006,,British Columbia,
2007,1.0,British Columbia,2.0
2007,2.0,British Columbia,2.0
2007,3.0,British Columbia,17.0
2007,4.0,British Columbia,76.0
2007,5.0,British Columbia,159.0
2007,6.0,British Columbia,109.0
2007,7.0,British Columbia,624.0
2007,8.0,British Columbia,518.0
2007,9.0,British Columbia,111.0
2007,10.0,British Columbia,18.0
2007,11.0,British Columbia,4.0
2007,12.0,British Columbia,1.0
2007,,British Columbia,
2007,,British Columbia,
2008,1.0,British Columbia,1.0
2008,2.0,British Columbia,2.0
2008,3.0,British Columbia,13.0
2008,4.0,British Columbia,117.0
2008,5.0,British Columbia,161.0
2008,6.0,British Columbia,170.0
2008,7.0,British Columbia,596.0
2008,8.0,British Columbia,780.0
2008,9.0,British Columbia,122.0
2008,10.0,British Columbia,66.0
2008,11.0,British Columbia,7.0
2008,12.0,British Columbia,3.0
2008,,British Columbia,20.0
2008,,British Columbia,
2009,1.0,British Columbia,8.0
2009,2.0,British Columbia,7.0
2009,3.0,British Columbia,19.0
2009,4.0,British Columbia,165.0
2009,5.0,British Columbia,197.0
2009,6.0,British Columbia,459.0
2009,7.0,British Columbia,1191.0
2009,8.0,British Columbia,632.0
2009,9.0,British Columbia,337.0
2009,10.0,British Columbia,49.0
2009,11.0,British Columbia,5.0
2009,12.0,British Columbia,2.0
2009,,British Columbia,30.0
2009,,British Columbia,
2010,1.0,British Columbia,2.0
2010,2.0,British Columbia,2.0
2010,3.0,British Columbia,30.0
2010,4.0,British Columbia,135.0
2010,5.0,British Columbia,91.0
2010,6.0,British Columbia,132.0
2010,7.0,British Columbia,826.0
2010,8.0,British Columbia,392.0
2010,9.0,British Columbia,52.0
2010,10.0,British Columbia,54.0
2010,11.0,British Columbia,11.0
2010,12.0,British Columbia,4.0
2010,,British Columbia,
2010,,British Columbia,
2011,1.0,British Columbia,2.0
2011,2.0,British Columbia,2.0
2011,3.0,British Columbia,9.0
2011,4.0,British Columbia,48.0
2011,5.0,British Columbia,67.0
2011,6.0,British Columbia,68.0
2011,7.0,British Columbia,115.0
2011,8.0,British Columbia,223.0
2011,9.0,British Columbia,107.0
2011,10.0,British Columbia,37.0
2011,11.0,British Columbia,6.0
2011,12.0,British Columbia,
2011,,British Columbia,
2011,,British Columbia,
2012,1.0,British Columbia,2.0
2012,2.0,British Columbia,2.0
2012,3.0,British Columbia,6.0
2012,4.0,British Columbia,74.0
2012,5.0,British Columbia,168.0
2012,6.0,British Columbia,57.0
2012,7.0,British Columbia,417.0
2012,8.0,British Columbia,642.0
2012,9.0,British Columbia,205.0
2012,10.0,British Columbia,83.0
2012,11.0,British Columbia,2.0
2012,12.0,British Columbia,1.0
2012,,British Columbia,
2012,,British Columbia,
2013,1.0,British Columbia,1.0
2013,2.0,British Columbia,
2013,3.0,British Columbia,21.0
2013,4.0,British Columbia,85.0
2013,5.0,British Columbia,128.0
2013,6.0,British Columbia,101.0
2013,7.0,British Columbia,367.0
2013,8.0,British Columbia,999.0
2013,9.0,British Columbia,131.0
2013,10.0,British Columbia,43.0
2013,11.0,British Columbia,1.0
2013,12.0,British Columbia,2.0
2013,,British Columbia,
2013,,British Columbia,
2014,1.0,British Columbia,1.0
2014,2.0,British Columbia,4.0
2014,3.0,British Columbia,10.0
2014,4.0,British Columbia,107.0
2014,5.0,British Columbia,105.0
2014,6.0,British Columbia,132.0
2014,7.0,British Columbia,485.0
2014,8.0,British Columbia,502.0
2014,9.0,British Columbia,90.0
2014,10.0,British Columbia,40.0
2014,11.0,British Columbia,
2014,12.0,British Columbia,2.0
2014,,British Columbia,
2014,,British Columbia,
2015,1.0,British Columbia,
2015,2.0,British Columbia,2.0
2015,3.0,British Columbia,31.0
2015,4.0,British Columbia,82.0
2015,5.0,British Columbia,309.0
2015,6.0,British Columbia,443.0
2015,7.0,British Columbia,538.0
2015,8.0,British Columbia,404.0
2015,9.0,British Columbia,31.0
2015,10.0,British Columbia,27.0
2015,11.0,British Columbia,3.0
2015,12.0,British Columbia,1.0
2015,,British Columbia,
2015,,British Columbia,
2016,1.0,British Columbia,3.0
2016,2.0,British Columbia,7.0
2016,3.0,British Columbia,27.0
2016,4.0,British Columbia,158.0
2016,5.0,British Columbia,127.0
2016,6.0,British Columbia,164.0
2016,7.0,British Columbia,206.0
2016,8.0,British Columbia,325.0
2016,9.0,British Columbia,43.0
2016,10.0,British Columbia,12.0
2016,11.0,British Columbia,3.0
2016,12.0,British Columbia,
2016,,British Columbia,
2016,,British Columbia,
2017,1.0,British Columbia,1.0
2017,2.0,British Columbia,2.0
2017,3.0,British Columbia,10.0
2017,4.0,British Columbia,40.0
2017,5.0,British Columbia,91.0
2017,6.0,British Columbia,145.0
2017,7.0,British Columbia,622.0
2017,8.0,British Columbia,306.0
2017,9.0,British Columbia,115.0
2017,10.0,British Columbia,64.0
2017,11.0,British Columbia,4.0
2017,12.0,British Columbia,
2017,,British Columbia,
2017,,British Columbia,
2018,1.0,British Columbia,1.0
2018,2.0,British Columbia,
2018,3.0,British Columbia,14.0
2018,4.0,British Columbia,51.0
2018,5.0,British Columbia,178.0
2018,6.0,British Columbia,327.0
2018,7.0,British Columbia,684.0
2018,8.0,British Columbia,766.0
2018,9.0,British Columbia,52.0
2018,10.0,British Columbia,45.0
2018,11.0,British Columbia,2.0
2018,12.0,British Columbia,2.0
2018,,British Columbia,1.0
2018,,British Columbia,
2019,1.0,British Columbia,
2019,2.0,British Columbia,1.0
2019,3.0,British Columbia,27.0
2019,4.0,British Columbia,87.0
2019,5.0,British Columbia,135.0
2019,6.0,British Columbia,194.0
2019,7.0,British Columbia,155.0
2019,8.0,British Columbia,126.0
2019,9.0,British Columbia,95.0
2019,10.0,British Columbia,16.0
2019,11.0,British Columbia,7.0
2019,12.0,British Columbia,
2019,,British Columbia,
2019,,British Columbia,
2020,1.0,British Columbia,
2020,2.0,British Columbia,
2020,3.0,British Columbia,19.0
2020,4.0,British Columbia,92.0
