latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
60.843582,-115.77565,164.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-15.9,-13.1,79,0.10,341,0.11,1.0,16.8,14.6,75
1990-01-02,-23.9,-20.3,74,0.00,321,0.05,0.0,11.6,8.6,70
1990-01-03,-26.8,-25.8,74,0.00,268,0.04,0.0,12.1,8.9,72
1990-01-04,-29.1,-28.0,72,0.00,245,0.04,0.0,9.6,8.4,71
1990-01-05,-30.0,-29.1,72,0.00,203,0.03,0.0,10.9,7.3,71
1990-01-06,-26.4,-25.8,73,5.00,23,0.05,11.0,14.4,9.8,70
1990-01-07,-25.6,-24.1,76,0.00,103,0.03,0.0,8.4,6.2,75
1990-01-08,-22.1,-19.5,78,0.70,350,0.02,4.0,6.1,3.4,73
1990-01-09,-20.3,-19.3,80,0.00,126,0.03,0.0,9.7,5.1,77
1990-01-10,-18.0,-17.3,80,3.10,301,0.10,13.0,22.6,15.0,71
1990-01-11,-22.5,-18.8,73,0.00,246,0.09,0.0,20.3,12.0,71
1990-01-12,-23.5,-23.1,78,0.00,139,0.05,0.0,12.8,8.7,73
1990-01-13,-22.5,-21.5,79,0.00,289,0.03,0.0,9.7,6.1,77
1990-01-14,-19.4,-13.2,80,0.00,182,0.07,0.0,18.8,9.8,77
1990-01-15,-12.5,-11.0,80,0.00,273,0.18,0.0,20.5,16.6,71
1990-01-16,-16.7,-15.1,81,0.00,227,0.06,0.0,14.2,9.4,79
1990-01-17,-19.2,-17.0,77,0.00,355,0.08,0.0,12.9,9.8,71
1990-01-18,-21.5,-21.0,76,0.90,79,0.07,5.0,10.0,8.5,74
