latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-03-12,-0.9,1.0,0.00,0.0,299,1.32,22.7,17.2,78,74
1990-03-13,-3.0,-0.2,0.00,0.0,358,0.87,13.3,7.4,82,71
1990-03-14,-8.1,-6.0,0.00,0.0,11,0.92,13.0,9.7,79,70
1990-03-15,-4.8,0.7,5.40,7.0,127,0.99,18.1,12.6,82,76
1990-03-16,0.2,4.3,0.00,0.0,184,0.85,15.2,11.5,87,81
1990-03-17,5.0,11.2,0.00,0.0,203,1.12,26.7,13.3,94,86
1990-03-18,8.7,11.0,4.30,10.0,233,0.50,35.6,21.7,97,95
1990-03-19,2.8,5.1,1.30,2.0,251,1.71,29.1,24.2,77,59
1990-03-20,1.5,5.9,0.00,0.0,197,1.88,18.5,11.4,73,62
1990-03-21,1.9,4.2,17.20,13.0,86,0.93,29.2,20.7,86,67
1990-03-22,-1.9,-0.5,6.90,4.0,327,1.44,33.2,19.0,81,67
1990-03-23,3.6,10.4,0.80,2.0,188,1.92,47.0,33.8,74,60
1990-03-24,-2.8,6.9,5.20,7.0,291,1.65,32.9,23.4,59,39
1990-03-25,-1.8,2.8,0.00,0.0,184,1.88,20.2,12.3,59,47
1990-03-26,-0.1,4.9,0.00,0.0,202,1.77,27.0,20.6,73,56
1990-03-27,-6.2,0.5,0.60,3.0,297,1.29,33.7,23.3,62,51
1990-03-28,-6.4,-1.3,0.40,1.0,234,1.60,25.7,15.2,55,35
1990-03-29,-6.4,-3.2,0.00,0.0,306,1.30,34.9,24.4,59,45
1990-03-30,-4.6,-0.4,0.00,0.0,261,1.87,10.9,8.3,55,39
1990-03-31,-1.3,1.9,0.30,3.0,141,1.29,23.4,16.3,70,60
1990-04-01,0.2,1.7,3.30,8.0,104,0.70,26.5,22.5,85,76
1990-04-02,1.9,3.9,11.30,24.0,123,0.77,27.1,25.4,87,82
1990-04-03,4.6,8.6,4.30,13.0,133,0.84,23.2,14.6,94,85
1990-04-04,5.7,7.9,8.30,11.0,119,0.43,37.9,27.5,98,95
1990-04-05,7.4,10.8,1.20,2.0,180,2.06,29.5,19.6,81,55
1990-04-06,5.7,10.7,0.00,0.0,217,2.22,26.2,21.4,68,44
1990-04-07,1.9,5.2,11.40,9.0,285,0.84,22.2,13.0,87,80
1990-04-08,-0.4,1.8,5.70,11.0,292,1.75,25.4,19.5,77,60
1990-04-09,-0.3,0.7,0.00,0.0,288,1.81,18.0,12.9,75,66
1990-04-10,1.3,3.3,5.20,9.0,221,1.26,21.5,13.9,81,69
1990-04-11,5.2,9.3,25.30,24.0,135,0.51,26.9,16.4,95,89
1990-04-12,2.1,5.8,1.50,7.0,273,1.36,32.2,20.2,81,57
1990-04-13,1.1,2.3,0.00,0.0,266,1.93,20.6,13.6,74,57
1990-04-14,2.7,7.8,0.00,0.0,220,2.65,25.0,18.3,64,45
1990-04-15,4.4,10.6,0.00,0.0,188,2.38,30.3,22.4,72,51
1990-04-16,7.7,10.9,13.80,6.0,194,2.06,29.4,22.8,81,56
1990-04-17,6.2,11.6,0.00,0.0,195,2.82,31.3,17.5,66,40
1990-04-18,4.0,6.8,8.10,9.0,254,2.37,34.5,28.9,68,42
1990-04-19,1.5,4.0,0.00,0.0,281,2.72,21.9,15.2,55,46
1990-04-20,4.8,9.8,0.00,0.0,218,2.90,28.8,25.1,60,53
1990-04-21,5.3,6.9,11.70,13.0,212,1.14,25.5,20.8,77,63
1990-04-22,3.5,5.0,0.20,1.0,34,1.15,21.1,14.7,93,82
1990-04-23,1.8,2.2,1.30,8.0,7,0.38,26.3,22.7,93,91
1990-04-24,0.8,1.5,0.00,0.0,16,1.29,37.2,32.8,80,70
1990-04-25,0.2,2.2,0.00,0.0,16,2.10,30.4,17.3,72,66
1990-04-26,2.3,8.6,0.00,0.0,186,1.58,7.6,5.4,76,58
1990-04-27,7.5,16.0,0.00,0.0,211,2.39,21.1,12.9,80,65
1990-04-28,3.9,12.3,1.90,3.0,7,1.44,31.2,25.4,83,69
1990-04-29,1.4,4.7,0.00,0.0,63,2.73,18.3,9.7,73,62
1990-04-30,5.5,12.0,0.00,0.0,211,2.20,19.1,13.7,72,57
1990-05-01,11.0,18.4,0.00,0.0,212,3.28,18.6,15.4,78,62
1990-05-02,11.5,14.8,4.00,7.0,201,1.54,30.3,23.3,91,72
1990-05-03,7.3,9.1,0.00,0.0,326,3.45,17.0,12.7,60,49
1990-05-04,5.3,6.9,0.00,0.0,338,2.83,19.2,10.0,68,49
1990-05-05,5.2,10.2,1.20,2.0,139,2.60,22.2,15.0,70,52
1990-05-06,2.1,4.5,25.80,24.0,60,0.61,38.0,33.3,92,85
1990-05-07,2.9,6.6,5.10,12.0,334,2.30,37.1,24.6,81,62
1990-05-08,6.1,10.7,0.00,0.0,240,3.27,13.3,9.3,73,58
1990-05-09,7.6,12.0,0.00,0.0,209,2.47,36.7,22.3,71,55
1990-05-10,7.5,9.8,0.30,1.0,78,2.50,30.0,19.3,76,66
1990-05-11,11.2,14.6,5.80,5.0,164,1.47,42.5,28.3,91,81
1990-05-12,7.5,10.4,0.00,0.0,260,2.54,29.4,21.5,74,53
1990-05-13,9.6,16.0,0.00,0.0,211,3.57,20.8,14.3,57,36
1990-05-14,7.3,8.8,32.60,23.0,130,0.74,18.4,15.0,88,52
1990-05-15,6.0,8.8,0.00,0.0,31,1.94,22.2,18.1,90,79
1990-05-16,7.3,11.8,5.20,12.0,182,1.50,16.5,12.9,90,84
1990-05-17,6.4,7.8,0.00,0.0,49,1.49,22.5,16.2,88,80
1990-05-18,3.9,5.9,8.90,12.0,113,0.88,36.7,30.5,86,83
1990-05-19,5.5,7.5,0.40,3.0,111,1.30,32.9,21.6,88,82
1990-05-20,4.1,5.6,3.10,15.0,30,0.94,30.9,23.8,88,83
1990-05-21,4.5,6.6,1.00,5.0,27,1.45,29.9,22.9,85,79
1990-05-22,5.3,6.2,1.40,5.0,62,0.91,23.3,18.2,87,83
1990-05-23,4.4,4.8,22.60,24.0,56,0.63,26.1,20.7,91,88
1990-05-24,4.4,5.5,6.50,8.0,39,1.97,25.6,22.1,82,70
1990-05-25,4.4,6.5,0.00,0.0,12,2.59,23.5,19.8,79,66
1990-05-26,6.3,12.3,0.00,0.0,317,3.46,13.2,10.4,74,53
1990-05-27,8.7,13.8,0.00,0.0,97,3.98,12.0,8.2,73,57
1990-05-28,11.3,18.8,0.00,0.0,196,4.36,18.2,11.8,68,52
1990-05-29,14.2,20.4,0.00,0.0,227,4.98,28.5,19.4,53,37
1990-05-30,10.4,14.8,47.10,18.0,47,1.19,41.1,19.6,89,53
1990-05-31,7.0,9.4,3.20,6.0,312,3.42,43.7,29.6,67,47
1990-06-01,9.5,16.1,0.00,0.0,234,3.95,19.7,13.2,66,48
1990-06-02,14.5,19.5,0.00,0.0,229,5.33,31.8,24.1,60,43
1990-06-03,16.1,22.4,0.00,0.0,228,5.10,31.8,23.4,67,50
1990-06-04,14.7,17.8,5.90,4.0,207,1.89,35.0,32.0,85,75
1990-06-05,13.2,14.7,0.00,0.0,237,3.40,29.2,21.8,79,54
1990-06-06,11.0,14.8,0.00,0.0,267,3.97,28.0,15.9,66,46
1990-06-07,12.6,18.0,0.00,0.0,225,4.36,27.9,16.5,65,58
1990-06-08,12.5,15.6,1.00,3.0,324,3.24,18.4,11.7,82,71
