latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,-122.17876,978.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-4.5,-0.7,88,0.60,135,0.22,2.0,16.5,9.4,74
1990-01-02,-12.9,-6.4,80,1.60,121,0.13,5.0,11.5,6.8,69
1990-01-03,-7.0,-4.6,85,9.50,133,0.17,24.0,13.5,12.2,79
1990-01-04,-6.8,-4.0,88,5.10,129,0.19,11.0,15.0,10.3,80
1990-01-05,-3.4,1.2,83,2.40,136,0.38,7.0,23.6,16.3,67
1990-01-06,-3.5,-0.3,87,1.10,147,0.23,2.0,18.1,13.3,76
1990-01-07,-0.6,1.5,82,1.90,135,0.46,4.0,21.4,16.8,72
1990-01-08,-5.4,-0.0,89,0.30,131,0.22,2.0,13.8,10.8,76
1990-01-09,-1.5,1.5,85,0.50,133,0.37,3.0,18.6,16.0,79
1990-01-10,-6.6,0.4,68,1.00,236,0.45,2.0,15.4,9.3,59
1990-01-11,-14.3,-7.7,80,0.00,104,0.19,0.0,8.0,6.3,67
1990-01-12,-6.6,-0.8,77,0.70,121,0.35,4.0,14.6,11.3,71
1990-01-13,-4.3,-1.1,88,0.10,120,0.24,1.0,11.2,8.3,79
1990-01-14,-3.6,-1.4,93,0.20,78,0.22,2.0,8.4,4.5,86
1990-01-15,-4.2,-0.4,90,0.00,128,0.25,0.0,15.3,11.8,77
1990-01-16,-4.3,-1.0,86,1.10,327,0.27,6.0,13.8,9.4,68
1990-01-17,-13.7,-6.5,81,0.00,86,0.22,0.0,8.9,6.2,69
1990-01-18,-13.7,-8.3,79,0.00,119,0.25,0.0,11.6,9.6,68
1990-01-19,-12.5,-6.3,79,0.00,115,0.25,0.0,10.6,8.6,70
1990-01-20,-10.3,-5.1,80,0.20,125,0.24,1.0,14.5,11.3,64
1990-01-21,-4.7,-2.5,85,5.10,128,0.22,12.0,13.3,11.7,75
1990-01-22,-2.8,-1.2,92,11.00,140,0.35,19.0,12.5,8.9,77
1990-01-23,-5.1,-1.8,86,4.40,338,0.30,13.0,9.4,5.6,60
1990-01-24,-7.4,-3.6,76,1.00,145,0.33,5.0,15.4,11.0,63
1990-01-25,-2.0,1.4,76,1.80,153,0.72,9.0,24.0,19.3,45
1990-01-26,-8.7,-1.1,62,0.00,220,0.48,0.0,17.5,9.7,47
1990-01-27,-8.2,-5.0,78,4.10,136,0.32,15.0,16.9,12.6,67
1990-01-28,-8.2,-5.3,81,5.00,129,0.21,13.0,11.2,7.8,72
1990-01-29,-11.1,-5.2,82,1.10,340,0.30,4.0,16.0,9.4,63
1990-01-30,-17.4,-9.6,74,1.70,326,0.16,10.0,16.5,11.6,58
1990-01-31,-29.3,-24.5,65,0.00,317,0.13,0.0,15.8,7.2,49
1990-02-01,-21.7,-14.2,72,2.50,75,0.16,12.0,8.4,4.8,51
1990-02-02,-11.7,-2.2,78,1.50,122,0.36,7.0,18.1,13.7,67
1990-02-03,-1.8,-0.4,81,5.80,135,0.51,9.0,25.2,14.2,71
1990-02-04,-8.5,-1.7,83,0.00,131,0.35,0.0,18.9,9.7,64
1990-02-05,-3.4,0.6,72,0.30,140,0.82,2.0,26.0,19.3,56
1990-02-06,-6.3,-0.5,82,0.90,138,0.36,6.0,12.0,8.2,63
1990-02-07,-9.7,-5.8,75,1.50,144,0.35,8.0,15.5,11.4,68
1990-02-08,-13.3,-6.9,73,0.30,167,0.39,2.0,7.8,5.3,58
1990-02-09,-7.7,-2.9,78,11.90,127,0.35,16.0,15.3,12.6,65
1990-02-10,-4.0,-0.4,86,5.80,118,0.35,11.0,13.3,9.0,69
1990-02-11,-3.7,-1.5,73,3.60,205,0.61,8.0,15.2,9.3,45
1990-02-12,-11.1,-4.7,74,0.10,318,0.30,1.0,18.4,8.4,58
1990-02-13,-20.0,-14.7,69,0.00,320,0.36,0.0,18.1,10.9,39
1990-02-14,-19.3,-11.3,65,0.90,122,0.33,5.0,16.0,11.2,41
