latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
60.070297,-128.72093,746.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-01-01,-11.2,-7.4,8.30,24.0,83,0.10,14.8,9.1,79,73
1990-01-02,-22.5,-15.7,0.50,4.0,321,0.02,6.4,4.3,79,72
1990-01-03,-26.9,-24.6,0.70,4.0,0,0.02,5.4,3.1,75,69
1990-01-04,-26.4,-25.1,0.30,3.0,17,0.02,4.0,2.2,75,71
1990-01-05,-26.1,-21.5,6.90,10.0,17,0.03,5.1,3.4,75,72
1990-01-06,-21.8,-19.7,1.00,6.0,58,0.03,5.9,3.5,78,71
1990-01-07,-22.2,-19.8,0.00,0.0,330,0.03,6.5,3.3,77,68
1990-01-08,-18.3,-15.7,0.80,5.0,40,0.04,4.2,3.0,77,73
1990-01-09,-18.3,-16.0,1.50,6.0,356,0.05,5.7,4.4,82,77
1990-01-10,-19.3,-15.1,0.30,3.0,283,0.04,11.9,7.3,81,77
1990-01-11,-23.4,-20.9,0.00,0.0,47,0.04,7.6,4.2,74,69
1990-01-12,-22.0,-18.3,0.00,0.0,349,0.03,5.7,3.8,76,72
1990-01-13,-17.7,-16.6,1.10,8.0,81,0.04,4.3,3.0,78,73
1990-01-14,-18.2,-11.9,0.00,0.0,151,0.07,17.1,7.5,80,73
1990-01-15,-13.5,-9.4,0.00,0.0,236,0.07,16.8,8.0,81,74
1990-01-16,-21.1,-18.2,0.00,0.0,341,0.04,5.6,3.3,80,72
1990-01-17,-22.7,-17.3,0.00,0.0,46,0.05,5.3,3.7,73,65
1990-01-18,-17.9,-12.5,0.30,2.0,75,0.06,5.7,3.9,76,67
1990-01-19,-13.5,-7.2,0.00,0.0,87,0.09,7.2,5.8,82,73
1990-01-20,-8.8,-4.8,0.00,0.0,199,0.15,12.0,8.3,82,72
1990-01-21,-10.0,-5.7,0.00,0.0,183,0.07,10.4,6.5,86,75
1990-01-22,-13.3,-10.5,0.30,3.0,40,0.07,6.3,2.8,85,77
1990-01-23,-13.8,-10.6,0.10,1.0,158,0.08,8.3,5.7,84,75
1990-01-24,-14.7,-12.0,0.00,0.0,230,0.11,10.2,7.2,79,74
1990-01-25,-18.6,-13.2,0.70,7.0,68,0.09,11.2,5.7,78,62
1990-01-26,-22.2,-17.8,0.10,1.0,105,0.07,8.1,6.0,76,66
1990-01-27,-25.0,-22.1,0.00,0.0,25,0.05,4.4,2.6,75,66
1990-01-28,-26.8,-23.8,0.00,0.0,57,0.05,4.9,4.1,75,67
1990-01-29,-33.1,-27.0,0.00,0.0,29,0.03,5.8,3.2,70,58
1990-01-30,-39.6,-34.6,0.00,0.0,326,0.03,5.7,3.9,64,45
1990-01-31,-42.2,-37.6,0.00,0.0,313,0.02,4.8,2.4,59,44
1990-02-01,-41.1,-34.7,0.00,0.0,299,0.03,5.8,2.7,58,43
1990-02-02,-34.8,-27.9,0.00,0.0,346,0.04,4.3,2.0,55,45
1990-02-03,-29.5,-24.5,0.00,0.0,311,0.06,4.3,2.6,66,54
1990-02-04,-26.6,-21.0,0.00,0.0,28,0.08,4.8,2.7,69,57
1990-02-05,-22.4,-18.0,0.10,1.0,22,0.10,5.5,3.5,73,62
1990-02-06,-20.3,-18.8,1.20,8.0,105,0.10,6.8,5.6,75,68
1990-02-07,-22.7,-19.4,1.10,7.0,6,0.07,5.4,3.6,76,69
1990-02-08,-24.0,-19.6,0.00,0.0,54,0.09,5.5,2.8,75,64
1990-02-09,-25.9,-21.8,0.70,6.0,30,0.07,6.9,3.8,73,62
1990-02-10,-21.9,-17.0,1.10,8.0,57,0.14,4.9,2.6,73,54
1990-02-11,-22.5,-18.3,0.00,0.0,345,0.13,6.0,4.2,71,54
1990-02-12,-26.0,-18.6,0.00,0.0,298,0.11,7.9,5.3,69,54
1990-02-13,-30.1,-24.8,0.00,0.0,302,0.10,7.0,5.0,64,41
1990-02-14,-24.1,-19.6,4.10,11.0,62,0.12,14.6,6.4,67,46
1990-02-15,-24.3,-20.0,0.00,0.0,92,0.15,12.1,8.1,68,58
1990-02-16,-29.8,-23.4,0.00,0.0,248,0.11,6.2,3.6,64,40
1990-02-17,-28.0,-18.9,0.00,0.0,349,0.12,3.8,2.1,60,41
1990-02-18,-18.5,-11.2,1.60,9.0,84,0.18,8.8,5.5,73,49
1990-02-19,-12.0,-5.8,0.00,0.0,170,0.41,16.2,11.7,75,46
1990-02-20,-12.3,-6.8,1.00,5.0,193,0.21,10.9,4.5,78,55
1990-02-21,-12.3,-6.2,4.40,18.0,50,0.25,6.5,4.0,82,63
1990-02-22,-3.5,1.6,0.50,4.0,234,0.72,21.1,13.8,72,54
1990-02-23,-6.4,1.0,0.00,0.0,323,0.41,17.3,6.0,79,57
1990-02-24,-8.9,-5.6,3.70,9.0,86,0.33,11.5,7.5,80,61
1990-02-25,-4.9,0.5,0.10,1.0,256,0.50,15.3,9.8,79,61
1990-02-26,-4.3,0.2,0.00,0.0,221,0.59,13.4,8.2,76,58
1990-02-27,-5.1,0.6,0.00,0.0,122,0.62,8.7,6.6,76,55
1990-02-28,-0.6,1.4,1.10,6.0,242,1.11,23.1,17.2,61,46
1990-03-01,-7.0,-1.4,0.00,0.0,267,0.56,15.6,5.2,76,48
1990-03-02,-7.3,1.5,0.00,0.0,62,0.58,6.8,3.1,79,55
1990-03-03,-4.5,2.4,0.00,0.0,61,0.68,6.8,2.8,78,56
1990-03-04,-3.4,3.0,0.00,0.0,65,0.77,6.7,3.4,79,57
1990-03-05,-3.3,2.5,0.00,0.0,118,0.67,13.4,8.1,82,62
1990-03-06,-1.7,2.4,0.20,1.0,133,0.65,14.7,9.4,78,49
1990-03-07,-5.7,0.7,0.00,0.0,236,0.59,11.8,4.8,73,48
1990-03-08,-10.8,-3.9,0.00,0.0,327,0.62,5.7,3.8,74,48
1990-03-09,-12.9,-5.5,0.00,0.0,65,0.60,7.3,3.7,74,50
1990-03-10,-11.5,-6.8,0.00,0.0,52,0.53,10.9,7.7,73,57
1990-03-11,-11.8,-6.3,0.00,0.0,95,0.62,8.7,5.8,75,58
1990-03-12,-9.0,-1.3,0.60,4.0,96,0.67,7.6,5.3,78,58
1990-03-13,-2.4,2.9,2.00,12.0,99,0.84,9.0,6.9,85,63
1990-03-14,-0.8,3.6,0.00,0.0,143,0.89,14.7,6.8,83,54
1990-03-15,-1.2,3.5,0.00,0.0,240,1.10,13.6,8.8,74,46
1990-03-16,-3.7,2.7,0.00,0.0,272,1.05,11.2,7.9,75,49
1990-03-17,-5.0,1.3,0.00,0.0,322,1.06,9.3,4.5,77,52
1990-03-18,-4.0,1.0,0.40,3.0,290,0.79,14.8,6.6,76,57
1990-03-19,-5.0,0.5,0.60,4.0,11,0.64,17.8,11.8,77,54
1990-03-20,-13.6,-7.9,0.00,0.0,72,0.75,16.2,10.7,65,40
1990-03-21,-14.4,-6.3,0.00,0.0,273,0.85,10.7,7.6,66,41
1990-03-22,-12.4,-4.9,0.00,0.0,286,0.93,6.6,4.4,64,38
1990-03-23,-10.9,-2.1,0.00,0.0,290,1.03,5.2,3.9,62,36
1990-03-24,-8.4,0.0,0.00,0.0,299,1.19,6.8,4.0,63,37
1990-03-25,-7.0,2.0,0.00,0.0,77,1.20,7.3,3.1,68,29
1990-03-26,-1.6,4.3,0.00,0.0,211,1.18,12.2,4.8,70,30
1990-03-27,-0.5,4.8,0.00,0.0,234,1.47,12.4,7.8,75,50
1990-03-28,1.6,5.4,0.00,0.0,210,1.29,23.2,10.7,73,50
1990-03-29,1.9,4.7,0.00,0.0,234,1.39,26.5,12.9,70,44
1990-03-30,-0.6,4.1,0.10,1.0,250,1.36,20.4,12.5,72,45
1990-03-31,-1.5,3.4,0.00,0.0,237,1.46,11.9,7.7,72,43
