Year,Month,Jurisdiction,Number_fires
1991,7,Saskatchewan,111
1991,7,Yukon,33
1991,8,Alberta,239
1991,8,British Columbia,573
1991,8,Manitoba,222
1991,8,New Brunswick,92
1991,8,Newfoundland and Labrador,32
1991,8,Northwest Territories,117
1991,8,Nova Scotia,10
1991,8,Ontario,944
1991,8,Prince Edward Island,2
1991,8,Quebec,162
1991,8,Saskatchewan,272
1991,8,Yukon,9
1991,9,Alberta,54
1991,9,British Columbia,172
1991,9,Manitoba,21
1991,9,New Brunswick,20
1991,9,Newfoundland and Labrador,0
1991,9,Northwest Territories,1
1991,9,Nova Scotia,0
1991,9,Ontario,138
1991,9,Prince Edward Island,0
1991,9,Quebec,32
1991,9,Saskatchewan,48
1991,9,Yukon,0
1991,10,Alberta,66
1991,10,British Columbia,248
1991,10,Manitoba,6
1991,10,New Brunswick,7
1991,10,Newfoundland and Labrador,0
1991,10,Northwest Territories,0
1991,10,Nova Scotia,1
1991,10,Ontario,11
1991,10,Prince Edward Island,0
1991,10,Quebec,6
1991,10,Saskatchewan,31
1991,10,Yukon,0
1991,11,Alberta,6
1991,11,British Columbia,5
1991,11,Manitoba,0
1991,11,New Brunswick,1
1991,11,Newfoundland and Labrador,0
1991,11,Northwest Territories,0
1991,11,Nova Scotia,0
1991,11,Ontario,12
1991,11,Prince Edward Island,0
1991,11,Quebec,5
1991,11,Saskatchewan,14
1991,11,Yukon,0
1991,12,Alberta,7
1991,12,British Columbia,0
1991,12,Manitoba,0
1991,12,New Brunswick,0
1991,12,Newfoundland and Labrador,0
1991,12,Northwest Territories,0
1991,12,Nova Scotia,0
1991,12,Ontario,1
1991,12,Prince Edward Island,0
1991,12,Quebec,0
1991,12,Saskatchewan,2
1991,12,Yukon,0
1992,1,Alberta,14
1992,1,British Columbia,6
1992,1,Manitoba,0
1992,1,New Brunswick,0
1992,1,Newfoundland and Labrador,0
1992,1,Northwest Territories,0
1992,1,Nova Scotia,0
1992,1,Ontario,0
1992,1,Prince Edward Island,0
1992,1,Quebec,0
1992,1,Saskatchewan,0
1992,1,Yukon,0
1992,2,Alberta,11
1992,2,British Columbia,2
1992,2,Manitoba,1
1992,2,New Brunswick,0
1992,2,Newfoundland and Labrador,0
1992,2,Northwest Territories,0
1992,2,Nova Scotia,0
1992,2,Ontario,0
1992,2,Prince Edward Island,0
1992,2,Quebec,0
1992,2,Saskatchewan,0
1992,2,Yukon,0
1992,3,Alberta,61
1992,3,British Columbia,70
1992,3,Manitoba,1
1992,3,New Brunswick,0
1992,3,Newfoundland and Labrador,0
1992,3,Northwest Territories,0
1992,3,Nova Scotia,0
1992,3,Ontario,2
1992,3,Prince Edward Island,0
1992,3,Quebec,0
1992,3,Saskatchewan,3
1992,3,Yukon,0
1992,4,Alberta,110
1992,4,British Columbia,155
1992,4,Manitoba,7
1992,4,New Brunswick,50
1992,4,Newfoundland and Labrador,2
1992,4,Northwest Territories,0
1992,4,Nova Scotia,43
1992,4,Ontario,58
1992,4,Prince Edward Island,7
1992,4,Quebec,44
1992,4,Saskatchewan,50
1992,4,Yukon,0
1992,5,Alberta,91
1992,5,British Columbia,243
1992,5,Manitoba,76
1992,5,New Brunswick,345
1992,5,Newfoundland and Labrador,47
1992,5,Northwest Territories,9
1992,5,Nova Scotia,138
1992,5,Ontario,347
1992,5,Prince Edward Island,14
1992,5,Quebec,405
1992,5,Saskatchewan,103
1992,5,Yukon,9
1992,6,Alberta,147
1992,6,British Columbia,705
1992,6,Manitoba,45
1992,6,New Brunswick,78
1992,6,Newfoundland and Labrador,15
1992,6,Northwest Territories,31
1992,6,Nova Scotia,46
1992,6,Ontario,380
1992,6,Prince Edward Island,3
1992,6,Quebec,180
1992,6,Saskatchewan,151
1992,6,Yukon,26
1992,7,Alberta,226
1992,7,British Columbia,493
1992,7,Manitoba,57
1992,7,New Brunswick,24
1992,7,Newfoundland and Labrador,13
1992,7,Northwest Territories,130
1992,7,Nova Scotia,19
1992,7,Ontario,60
1992,7,Prince Edward Island,0
1992,7,Quebec,54
1992,7,Saskatchewan,150
1992,7,Yukon,72
1992,8,Alberta,339
1992,8,British Columbia,1803
1992,8,Manitoba,102
1992,8,New Brunswick,42
1992,8,Newfoundland and Labrador,26
1992,8,Northwest Territories,100
1992,8,Nova Scotia,18
1992,8,Ontario,94
1992,8,Prince Edward Island,0
1992,8,Quebec,59
1992,8,Saskatchewan,215
1992,8,Yukon,9
1992,9,Alberta,14
1992,9,British Columbia,197
1992,9,Manitoba,5
1992,9,New Brunswick,23
1992,9,Newfoundland and Labrador,3
1992,9,Northwest Territories,15
1992,9,Nova Scotia,19
1992,9,Ontario,8
1992,9,Prince Edward Island,2
1992,9,Quebec,14
1992,9,Saskatchewan,18
1992,9,Yukon,0
1992,10,Alberta,29
1992,10,British Columbia,126
1992,10,Manitoba,4
1992,10,New Brunswick,14
