Year,Month,Jurisdiction,Number_fires
2008,12.0,Alberta,4
2009,1.0,Alberta,8
2009,2.0,Alberta,11
2009,3.0,Alberta,5
2009,4.0,Alberta,127
2009,5.0,Alberta,493
2009,6.0,Alberta,454
2009,7.0,Alberta,170
2009,8.0,Alberta,179
2009,9.0,Alberta,174
2009,10.0,Alberta,45
2009,11.0,Alberta,17
2009,12.0,Alberta,10
2010,1.0,Alberta,7
2010,2.0,Alberta,6
2010,3.0,Alberta,48
2010,4.0,Alberta,338
2010,5.0,Alberta,381
2010,6.0,Alberta,349
2010,7.0,Alberta,506
2010,8.0,Alberta,174
2010,9.0,Alberta,49
2010,10.0,Alberta,62
2010,11.0,Alberta,26
2010,12.0,Alberta,3
2011,1.0,Alberta,2
2011,2.0,Alberta,0
2011,3.0,Alberta,1
2011,4.0,Alberta,140
2011,5.0,Alberta,405
2011,6.0,Alberta,115
2011,7.0,Alberta,174
2011,8.0,Alberta,160
2011,9.0,Alberta,135
2011,10.0,Alberta,44
2011,11.0,Alberta,29
2011,12.0,Alberta,3
2012,1.0,Alberta,14
2012,2.0,Alberta,3
2012,3.0,Alberta,32
2012,4.0,Alberta,123
2012,5.0,Alberta,456
2012,6.0,Alberta,124
2012,7.0,Alberta,410
2012,8.0,Alberta,272
2012,9.0,Alberta,170
2012,10.0,Alberta,40
2012,11.0,Alberta,2
2012,12.0,Alberta,0
2013,1.0,Alberta,1
2013,2.0,Alberta,3
2013,3.0,Alberta,9
2013,4.0,Alberta,37
2013,5.0,Alberta,529
2013,6.0,Alberta,132
2013,7.0,Alberta,211
2013,8.0,Alberta,180
2013,9.0,Alberta,135
2013,10.0,Alberta,26
2013,11.0,Alberta,15
2013,12.0,Alberta,1
2014,1.0,Alberta,9
2014,2.0,Alberta,0
2014,3.0,Alberta,11
2014,4.0,Alberta,81
2014,5.0,Alberta,360
2014,6.0,Alberta,282
2014,7.0,Alberta,330
2014,8.0,Alberta,263
2014,9.0,Alberta,114
2014,10.0,Alberta,39
2014,11.0,Alberta,15
2014,12.0,Alberta,2
2015,1.0,Alberta,2
2015,2.0,Alberta,4
2015,3.0,Alberta,32
2015,4.0,Alberta,277
2015,5.0,Alberta,505
2015,6.0,Alberta,504
2015,7.0,Alberta,318
2015,8.0,Alberta,162
2015,9.0,Alberta,55
2015,10.0,Alberta,62
2015,11.0,Alberta,23
2015,12.0,Alberta,8
2016,1.0,Alberta,7
2016,2.0,Alberta,12
2016,3.0,Alberta,62
2016,4.0,Alberta,287
2016,5.0,Alberta,250
2016,6.0,Alberta,402
2016,7.0,Alberta,221
2016,8.0,Alberta,128
2016,9.0,Alberta,85
2016,10.0,Alberta,14
2016,11.0,Alberta,13
2016,12.0,Alberta,4
2017,1.0,Alberta,4
2017,2.0,Alberta,4
2017,3.0,Alberta,14
2017,4.0,Alberta,101
2017,5.0,Alberta,348
2017,6.0,Alberta,176
2017,7.0,Alberta,285
2017,8.0,Alberta,264
2017,9.0,Alberta,77
2017,10.0,Alberta,49
2017,11.0,Alberta,5
2017,12.0,Alberta,3
2018,1.0,Alberta,4
2018,2.0,Alberta,0
2018,3.0,Alberta,19
2018,4.0,Alberta,97
2018,5.0,Alberta,454
2018,6.0,Alberta,337
2018,7.0,Alberta,166
2018,8.0,Alberta,178
2018,9.0,Alberta,62
2018,10.0,Alberta,53
2018,11.0,Alberta,9
2018,12.0,Alberta,3
2019,1.0,Alberta,17
2019,2.0,Alberta,1
2019,3.0,Alberta,34
2019,4.0,Alberta,188
2019,5.0,Alberta,315
2019,6.0,Alberta,180
2019,7.0,Alberta,219
2019,8.0,Alberta,78
2019,9.0,Alberta,30
2019,10.0,Alberta,17
2019,11.0,Alberta,1
2019,12.0,Alberta,1
2020,1.0,Alberta,1
2020,2.0,Alberta,1
2020,3.0,Alberta,4
2020,4.0,Alberta,68
2020,5.0,Alberta,209
2020,6.0,Alberta,83
2020,7.0,Alberta,78
2020,8.0,Alberta,208
2020,9.0,Alberta,82
2020,10.0,Alberta,49
2020,11.0,Alberta,9
2020,12.0,Alberta,8
2021,1.0,Alberta,8
2021,2.0,Alberta,1
2021,3.0,Alberta,34
2021,4.0,Alberta,153
2021,5.0,Alberta,282
2021,6.0,Alberta,189
2021,7.0,Alberta,396
2021,8.0,Alberta,175
2021,9.0,Alberta,94
2021,10.0,Alberta,66
2021,11.0,Alberta,22
2021,12.0,Alberta,6
2022,1.0,Alberta,1
2022,2.0,Alberta,6
2022,3.0,Alberta,21
2022,4.0,Alberta,132
2022,5.0,Alberta,226
2022,6.0,Alberta,153
2022,7.0,Alberta,272
2022,8.0,Alberta,284
2022,9.0,Alberta,120
2022,10.0,Alberta,135
2022,11.0,Alberta,18
2022,12.0,Alberta,4
1990,1.0,British Columbia,0
1990,2.0,British Columbia,3
1990,3.0,British Columbia,35
1990,4.0,British Columbia,147
1990,5.0,British Columbia,235
1990,6.0,British Columbia,95
1990,7.0,British Columbia,775
